"";"volumeInfo.title";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.subtitle";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"1";"Le jardinier de Versailles";"Alain Baraton";"Grasset";"2006-05-17";"Décembre 1999. La nuit. La tempête souffle sur une petite maison blanche à l'intérieur du parc de Versailles. Un homme en sort, qui assiste au spectacle des arbres arrachés comme des fétus de paille et des bosquets broyés par la force du vent. Cet homme, c'est Alain Baraton, le jardinier en chef du domaine national de Trianon et du Grand Parc de Versailles. Depuis plus de quinze ans, il travaille dans ce lieu qui est devenu sa vie, de même que cette maison, qui fut la maison de Molière, est devenue la sienne. A Versailles, l'Histoire n'est jamais loin la vie. C'est sur l'événement dramatique de la tempête que s'ouvre ce livre, le premier jamais écrit par un jardinier de Versailles. Successeur de Lenôtre, Richard La Quintinie, Alain Baraton s'inscrit dans une lignée qui s'est souvent effacée devant le prestige de Louis XIV. Il perpétue leur tradition tout en lui apportant son propre style, plus proche du goût de Marie-Antoinette. Il nous raconte son itinéraire personnel et l'histoire du parc, y mêlant une foule d'anecdotes touchant à la grande comme à la petite histoire. Des fêtes de Louis XIV avec ses feux d'artifice émerveillant l'Europe au poète Stéphane Mallarmé enterrant ses chats auprès du grand bassin, en passant par les deux institutrices anglaises qui eurent une vision de Marie-Antoinette rencontrant le cardinal de Rohan avant même que les historiens n'en fassent la découverte, il nous montre le Versailles éternel, où chaque bosquet abrite un événement. Il nous montre aussi le Versailles actuel, celui que, à force de passion et de travail, il a reconquis sur la tempête, avec l'aide des amis du parc, dans le monde entier, des Etats-Unis au Japon. On croisera les grands de ce monde, des personnages pittoresques, jusqu'aux moeurs secrètes et inattendues des bosquets excentrés... L'itinéraire d'un homme qui, muni d'une documentation précise et souvent inédite, tresse librement passé et présent, autobiographie et histoire, et nous confie son merveilleux jardin secret : Versailles.";336;"BOOK";"Fiction";"NOT_MATURE";FALSE;"1.3.3.0.preview.3";"fr";"http://books.google.fr/books?id=YIkQjOtxc8MC&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=1&source=gbs_api";"https://play.google.com/store/books/details?id=YIkQjOtxc8MC&source=gbs_api";"https://market.android.com/details?id=book-YIkQjOtxc8MC";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=YIkQjOtxc8MC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=YIkQjOtxc8MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"2";"L'invitée";"Simone de Beauvoir";"Editions Gallimard";"2015-01-01T00:00:00+01:00";"""Je me sens coupable, dit-il. Je me suis reposé bêtement sur les bons sentiments que cette fille me porte, mais ce n'est pas d'une moche petite tentative de séduction qu'il s'agissait. Nous voulions bâtir un vrai trio, une vie à trois bien équilibrée où personne ne se serait sacrifié : c'était peut-être une gageure, mais au moins ça méritait d'être essayé ! Tandis que si Xavière se conduit comme une petite garce jalouse, si tu es une pauvre victime pendant que je m'amuse à faire le joli cœur, notre histoire devient ignoble.""";512;"BOOK";"Fiction";"NOT_MATURE";TRUE;"1.12.9.0.preview.3";"fr";"http://books.google.fr/books?id=NzftBQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=2&source=gbs_api";"https://play.google.com/store/books/details?id=NzftBQAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-NzftBQAAQBAJ";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=NzftBQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=NzftBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"3";"Trop beau pour être vrai";"Kristan Higgins";"HarperCollins";"2016-11-14";"Un vrai talent comique ! Invitée à son quatrième mariage de l’année... et toujours pas l’ombre d’un cavalier pour l’accompagner ! Grace ne voit plus qu’une solution pour rassurer ses parents et ses sœurs, épouvantés à l’idée qu’elle ne termine sa vie auprès de son chien Angus et de son meilleur ami gay : s’inventer un petit ami. Mais attention, le nec plus ultra des petits amis ! Riche, brillant, drôle, volontaire mais attentionné, solide mais tendre. Cerise sur le gâteau : cet homme parfait sera littéralement fou d’elle. Bref, un innocent mensonge, pour rassurer tout le monde... Mais voici que, dès le lendemain, Grace fait la connaissance de son nouveau voisin, Callahan O’Shea. Un homme qui a tout pour faire naître dans son esprit les fantasmes les plus torrides. Un seul détail cloche : tout juste sorti de prison, le beau Callahan est absolument infréquentable. Surtout aux yeux de la famille de Grace, qui n’attend qu’une chose : qu’elle leur présente son fiancé parfait... A propos de l'auteur : Depuis la publication de son premier livre, Kristan Higgins a vu ses romans régulièrement classés sur les listes de best-sellers de USA Today et du New York Times. Auteur de comédies romantiques piquantes et pleines de charme, elle possède le don rare et unique de savoir faire rire autant que d’émouvoir.";448;"BOOK";"Fiction";"NOT_MATURE";FALSE;"1.6.6.0.preview.3";"fr";"http://books.google.fr/books?id=twkxHHBfla0C&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=3&source=gbs_api";"https://play.google.com/store/books/details?id=twkxHHBfla0C&source=gbs_api";"https://market.android.com/details?id=book-twkxHHBfla0C";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=twkxHHBfla0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=twkxHHBfla0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"4";"Passion inattendue à Manhattan";"Abby Gaines";"Harlequin";"2013-01-01";"La débrouille, les fins de mois difficiles qui ont marqué son enfance, Rachel Frye n’en veut plus dans sa vie de jeune femme moderne ! Elle est fière de sa réussite professionnelle et ne doute pas d’être sur le point de devenir associée dans l’agence de pub où elle travaille. Aussi est-elle stupéfaite que sa hiérarchie la soumette d’abord à... un test. Un test, alors qu’elle a déjà largement fait ses preuves ? Et Rachel n’est pas au bout de ses surprises : pour concurrent, elle aura celui que tous surnomment « le Requin » : Garrett Calder — arrogant, mais aussi tellement brillant, et tellement sexy... Pour ne pas céder à la tentation de se laisser croquer, il va falloir que Rachel garde la tête froide !";288;"BOOK";"Fiction";"NOT_MATURE";TRUE;"1.6.5.0.preview.3";"fr";"http://books.google.fr/books?id=ffHFibePqq0C&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=4&source=gbs_api";"https://play.google.com/store/books/details?id=ffHFibePqq0C&source=gbs_api";"https://market.android.com/details?id=book-ffHFibePqq0C";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=ffHFibePqq0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=ffHFibePqq0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"5";"Un héritier sous le charme";"Helen R. Myers";"Harlequin";"2018-02-01";"De retour à Oak Grove, la petite ville de son enfance, Mack Graves n’a qu’une envie : repartir au plus tôt. Mais sa rencontre avec Alana Anders, qui le captive par sa beauté impétueuse, vient bientôt à bout de ses réticences. Elle est sa nouvelle voisine, lui apprend-elle, car elle habite tout près de Last Call Ranch, le domaine dont il vient d’hériter. Et, s’il doit la côtoyer chaque jour, son séjour forcé sera sans doute plus plaisant qu’il ne l’avait imaginé... Hélas, Mack est bien vite détrompé par la cruelle vérité : Alana, si elle a le pouvoir de le troubler, a également celui de réclamer une part de son héritage...";160;"BOOK";"Fiction";"NOT_MATURE";FALSE;"1.2.2.0.preview.3";"fr";"http://books.google.fr/books?id=nbpEDwAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=5&source=gbs_api";"https://play.google.com/store/books/details?id=nbpEDwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-nbpEDwAAQBAJ";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=nbpEDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=nbpEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"6";"Un Noël dans les Catskills";"Nora Roberts";"Harlequin";"2011-12-01";"A la mort de son oncle, Pandora apprend, stupéfaite, qu’elle hérite de la fortune du vieil homme, ainsi que de sa maison des Catskills. A une condition : qu’elle y habite durant six mois avec Michael Donahue, un homme qui l’a toujours horripilée par son arrogance, mais pour lequel son oncle avait une grande estime. D’abord réticente, Pandora finit par accepter, au nom de l’affection qu’elle vouait à son oncle, et par attachement à la demeure, qui abrite ses plus beaux souvenirs d’enfance. Et, alors que la neige isole peu à peu la demeure des Catskills du reste du monde, et que Noël approche, Pandora se promet de tout faire pour que cette cohabitation forcée se passe au mieux. Même si Michael, toujours aussi insupportable — et toujours aussi séduisant —, la trouble beaucoup trop à son goût...";304;"BOOK";"Fiction";"NOT_MATURE";TRUE;"1.7.6.0.preview.3";"fr";"http://books.google.fr/books?id=CNlGhOKK_BcC&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=6&source=gbs_api";"http://books.google.fr/books?id=CNlGhOKK_BcC&dq=subject:Fiction&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Un_No%C3%ABl_dans_les_Catskills.html?hl=&id=CNlGhOKK_BcC";4;3;NA;TRUE;TRUE;"http://books.google.com/books/content?id=CNlGhOKK_BcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=CNlGhOKK_BcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"7";"Une bouleversante ressemblance";"Miranda Lee";"Harlequin";"2018-01-01";"Lorsqu'elle rencontre Adrian Palmer, Sharni est fascinée : la ressemblance avec Ray, son mari disparu cinq ans auparavant, est frappante. Tellement frappante qu'elle accepte sans hésiter l'invitation à dîner de cet homme charmant. Après tant d'années de solitude, ce simple moment de complicité lui donne le sentiment de revivre, libre et insouciante de nouveau. Avec lui, elle se sent si bien que, le soir même, submergée par un désir incontrôlable, elle s'abandonne dans ses bras, sans soupçonner un seul instant que son bel inconnu peut être un séducteur sans scrupules...";160;"BOOK";"Fiction";"NOT_MATURE";TRUE;"1.4.3.0.preview.3";"fr";"http://books.google.fr/books?id=aQxADwAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=7&source=gbs_api";"https://play.google.com/store/books/details?id=aQxADwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-aQxADwAAQBAJ";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=aQxADwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=aQxADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"8";"Deux ans de vacances";"Jules Verne";"Primento";"2012-01-01";"Une édition de référence de Deux ans de vacances de Jules Verne, spécialement conçue pour la lecture sur les supports numériques. « Il était onze heures du soir. Sous cette latitude, au commencement du mois de mars, les nuits sont courtes encore. Les premières blancheurs du jour ne devaient apparaître que vers cinq heures du matin. Mais les dangers qui menaçaient le Sloughi seraient-ils moins grands lorsque le soleil éclairerait l’espace ? Le frêle bâtiment ne resterait-il pas toujours à la merci des lames ? Assurément, et l’apaisement de la houle, l’accalmie de la rafale, pouvaient seuls le sauver du plus affreux des naufrages, – celui qui se produit en plein Océan, loin de toute terre sur laquelle les survivants trouveraient le salut peut-être ! »(Extrait du Premier chapitre.)";255;"BOOK";"Literary Collections";"NOT_MATURE";TRUE;"1.3.3.0.preview.3";"fr";"http://books.google.fr/books?id=ppce9EAVNM0C&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=8&source=gbs_api";"https://play.google.com/store/books/details?id=ppce9EAVNM0C&source=gbs_api";"https://market.android.com/details?id=book-ppce9EAVNM0C";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=ppce9EAVNM0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=ppce9EAVNM0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"9";"Une patiente trop séduisante - La passion du Dr Texeira";"Tina Beckett";"Harlequin";"2018-02-01";"Une patiente trop séduisante, Tina Beckett Lorsque Adam entre dans la petite pièce, Natalia Texeira est en tenue légère sur la table d’examen... Sublime et envoûtante au point de lui faire perdre le fil de sa pensée. Pourtant, le professionnel qu’il est n’a pas le droit d’être troublé – et encore moins par la plus proche amie de sa sœur. Adam le sait : il doit adresser Natalia à un de ses confrères... avant de perdre totalement la maîtrise de lui-même... La passion du Dr Texeira, Tina Beckett Sara ? Enceinte ? Comment a-t-elle pu lui faire cela ! Sebastian est fou de rage. Bien sûr, la nuit qu’il a partagée avec elle – cette sublime infirmière qui travaille sous ses ordres – était inoubliable. Mais devenir père ? Il en est absolument hors de question. Il l’avait pourtant prévenue de son allergie à l’engagement. Aussi n’a-t-il pas le choix : il la fera transférer dans un autre service, au plus vite...";288;"BOOK";"Fiction";"NOT_MATURE";TRUE;"1.3.3.0.preview.3";"fr";"http://books.google.fr/books?id=iwVDDwAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=9&source=gbs_api";"https://play.google.com/store/books/details?id=iwVDDwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-iwVDDwAAQBAJ";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=iwVDDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=iwVDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"10";"Une vérité si délicate";"John Le Carré";"Le Seuil";"2014-11-05T00:00:00+01:00";"2008. Le rocher de Gibraltar, joyau des colonies britanniques, est le théâtre d’une opération de contre-terrorisme menée par un commando anglais et des mercenaires américains. Nom de code : Wildlife. Objectif : enlever un acheteur d’armes djihadiste. Commanditaires : un ambitieux ministre des Affaires étrangères et son ami personnel, patron d’une société militaire privée. Kit Probyn, un diplomate candide, est sommé d’être le téléphone rouge du politicien. L’opération est si délicate que même le secrétaire particulier du ministre, Toby Bell, est tenu à l’écart.2011. Kit Probyn, désormais retraité, convoque Toby Bell dans son manoir de Cornouailles. Toby doit choisir entre sa conscience et sa loyauté de serviteur de l’État. Or si la passivité des hommes honnêtes suffit à faire triompher le mal, comment pourra-t-il garder le silence ?D’une actualité brûlante – l’affrontement entre chrétienté et islam –, Une vérité si délicate, vingt-troisième roman de l’auteur, est percutant, resserré comme un poing. Magistral.Traduit de l’anglais (Grande-Bretagne) par Isabelle PerrinJohn le Carré, né en 1931, a étudié aux universités de Berne et d’Oxford, enseigné à Eton, et a été membre du service du renseignement britannique pendant la guerre froide. Depuis cinquante ans il se consacre à l’écriture et partage sa vie entre Londres et la Cornouailles.Isabelle Perrin, que tout destinait à une sage carrière universitaire, contracte le virus de la traduction littéraire auprès de sa mère Mimi. Les incurables duettistes cosigneront plus de trente traductions, dont tous les romans de John le Carré depuis La Maison Russie.Extraits de presse :« John le Carré transcende la simple littérature de genre et marquera l’histoire comme peut-être l’écrivain le plus important de la seconde moitié du XXe siècle. » Ian McEwan« Le Carré opère ici un retour aux sources. Jubilatoire, subtil, ce roman est le plus marquant de ses œuvres récentes. » The Times« Le meilleur roman de John le Carré ! La cible choisie est atteinte : raconter une histoire palpitante sur les affaires étouffées par l’État, sur la conscience individuelle et sur le devoir envers son pays. » New York Times« Dans Une vérité si délicate, la tension monte à mesure que les révélations s’enchaînent. Le Carré, fin analyste du monde contemporain, sait provoquer tout en donnant à réfléchir. » The Independent« La voix de le Carré est aussi reconnaissable que celle de Dickens ou de Jane Austen : souvent imité, jamais égalé, il a créé son propre univers d’espions pathétiques, d’amants perfides, d’anciens élèves d’écoles privées rongés par la culpabilité, de figures d’un establishment impitoyable aussi séduisantes qu’immorales. » Financial Times";336;"BOOK";"Fiction";"NOT_MATURE";TRUE;"3.15.14.0.preview.3";"fr";"http://books.google.fr/books?id=WY6BAQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&as_pt=BOOKS&cd=10&source=gbs_api";"https://play.google.com/store/books/details?id=WY6BAQAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-WY6BAQAAQBAJ";NA;NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=WY6BAQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=WY6BAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
