"";"volumeInfo.title";"volumeInfo.subtitle";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"1";"L'écologie des autres";"l'anthropologie et la question de la nature";"Philippe Descola";"Editions Quae";"2011";"La quatrième de couverture indique : ""Depuis la fin du XIXe siècle, l'anthropologie qui étudie l'unité de l'humanité dans la diversité de ses manifestations n'échappe pas au partage entre nature et culture. Elle est scindée entre une anthropologie physique qui établit l'unité par-delà les variations et une anthropologie culturelle ou sociale qui fait état des variations sur fond d'unité. Mais l'anthropologie culturelle est elle-même divisée entre deux explications : celle qui considère les diversités culturelles comme autant de réponses adaptatives aux contraintes du milieu naturel et celle qui insiste sur le traitement symbolique d'éléments naturels choisis dans le milieu environnant. Selon Philippe Descola, c'est en se libérant du dualisme et en recomposant une écologie des relations entre humains et non-humains que l'anthropologie, acceptant de renoncer à son anthropocentrisme, pourra sortir des débats entre déterminismes naturels et déterminismes culturels.""";110;"BOOK";"Anthropology";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=KwkT3W_sDqAC&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=1&source=gbs_api";"http://books.google.fr/books?id=KwkT3W_sDqAC&dq=subject:Nature&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_%C3%A9cologie_des_autres.html?hl=&id=KwkT3W_sDqAC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=KwkT3W_sDqAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=KwkT3W_sDqAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"2";"Ces bêtes qu'on abat";"Journal d'un enquêteur dans les abattoirs français (1993-2008)";"Jean-Luc Daub";"Editions L'Harmattan";"2009-05-01";"Ces enquêtes effectuées dans les abattoirs français durant une quinzaine d'années lèvent le voile sur le malheur de milliards d'animaux. La force de ce témoignage tient dans la description, d'une précision extrême, des opérations d'abattage intolérables tandis que les instances qui ont compétence pour faire appliquer la règlementation en matière de protection des animaux font preuve d'une passivité qui confine à la complicité.";256;"BOOK";"Nature";"NOT_MATURE";TRUE;"1.8.6.0.preview.3";"fr";"http://books.google.fr/books?id=hXepciv1znEC&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=2&source=gbs_api";"https://play.google.com/store/books/details?id=hXepciv1znEC&source=gbs_api";"https://market.android.com/details?id=book-hXepciv1znEC";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=hXepciv1znEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=hXepciv1znEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"3";"Le cap des Trois Fourches";"Un site de grande importance pour la conservation de la nature sur la côte méditerranéenne du Maroc";"International Union for the Conservation of Nature (IUCN), Centre for Mediterranean Cooperation,Le Centre d'Activités Régionales pour les Aires Spécialement Protégées (CAR/ASP)";"IUCN";"2015-05-01";"Le cap des Trois Fourches est un excellent 'candidat' à être érigé en Aire Protégée Marine (APM) en raison de sa grande qualité écologique, attestée par la présence de nombreuses espèces bio-indicatrices, par la diversité élevée d'espèces, aussi bien les espèces protégées que les espèces d'intérêt commericial, ainsi que par la diversité des habitats (prairies, grottes, substrat rocheux, etc.). La présente brochure est un document qui rassemble toute l'information disponible sur les valeurs biologiques et écologiques ainsi que socio-économiques et culturelles du cap des Trois Fourches. Il se veut être également un outil de communication qui ambitionne la sensibilisation des acteurs locaux sur l'importance des aires protégées marines.";44;"BOOK";"Nature";"NOT_MATURE";FALSE;"1.0.0.0.preview.1";"fr";"http://books.google.fr/books?id=OPQ5CQAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=3&source=gbs_api";"http://books.google.fr/books?id=OPQ5CQAAQBAJ&dq=subject:Nature&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Le_cap_des_Trois_Fourches.html?hl=&id=OPQ5CQAAQBAJ";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=OPQ5CQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=OPQ5CQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"4";"L'espoir malgré tout";"L'oeuvre de Pierre Dansereau et l'avenir des sciences de l'environnement";"Normand Brunet,Paulo Freire Vieira,Marie Saint-Amand,René Audet";"PUQ";"2018-08-01T00:00:00-04:00";"La carrière du professeur Pierre Dansereau (1911-2011) s’est étalée sur plus de six décennies. Le présent ouvrage, en plus de célébrer son héritage intellectuel, s’interroge sur l’avenir des sciences de l’environnement. Ici, l’œuvre de Dansereau devient un fil conducteur, la pierre angulaire d’une vingtaine de textes traitant des sciences de l’environnement.";273;"BOOK";"Nature";"NOT_MATURE";FALSE;"1.4.3.0.preview.3";"fr";"http://books.google.fr/books?id=fUo4DwAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=4&source=gbs_api";"http://books.google.fr/books?id=fUo4DwAAQBAJ&dq=subject:Nature&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_espoir_malgr%C3%A9_tout.html?hl=&id=fUo4DwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=fUo4DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=fUo4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"5";"Professeur Feuillage présente son écolo book - Comment devenir écolo sans devenir chiant";NA;"PROFESSEUR FEUILLAGE";"First";"2017-11-16";"Le premier Youtuber 100 % écolo qui va vous faire kiffer l'écologie ! Les bons réflexes et les infos à connaître avec une bonne dose d'humour dans un almanach complètement déjanté à la sauce Feuillage ! ""Salut bande de petits chasseurs cueilleurs !"" Voilà comment le prof vous apostrophe au début de ses vidéos : et plus de 60 000 abonnés suivent ses tribulations bourrées d'humour et de provoc 100 % écolo ! Pour parler écologie et toucher un max de monde, il faut déculpabiliser les gens et les faire rire : c'est ce que le Professeur Feuillage et son assistante sexy Sophie ont bien compris : place à la déconne tout en restant ultra sérieux et précis sur les sujets importants ! Du remède contre la cuite du 31 décembre au pourquoi de l'exploitation du gaz de schiste, en passant par les petits gestes qui diviseront par deux votre conso d'énergie et les recettes bio pour vous régaler en laissant le Nutella au placard : découvrez les secrets de ces deux cinglés très attachants, mois après mois, tout au long de l'année et une bonne fois pour toutes : DEVENEZ ECOLO SANS DEVENIR CHIANT !";159;"BOOK";"Nature";"NOT_MATURE";TRUE;"1.2.1.0.preview.3";"fr";"http://books.google.fr/books?id=m0g7DwAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=5&source=gbs_api";"https://play.google.com/store/books/details?id=m0g7DwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-m0g7DwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=m0g7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=m0g7DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"6";"Transitions énergétiques : quelles dynamiques de changement ?";NA;"Divya Leducq et Anette Groux Sous la direction de Helga-Jane Scwarwell";"Editions L'Harmattan";"2015-09-01";"Que peut-on attendre de la transition énergétique ? L'actualité de ce concept traduit-elle une prise en compte renforcée de l'écologie ? En quoi la transition énergétique peut-elle être appréhendée comme une dynamique du changement qui ne se limiterait pas à sa dimension technique ? Quels seront les leviers du changement ? Comment repenser le collectif grâce à la transition ? Comment assurer le financement durable de la transition ?";610;"BOOK";"Nature";"NOT_MATURE";FALSE;"0.1.1.0.preview.3";"fr";"http://books.google.fr/books?id=udZ6CgAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=6&source=gbs_api";"https://play.google.com/store/books/details?id=udZ6CgAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-udZ6CgAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=udZ6CgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=udZ6CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"7";"L'intendance de la création";"la vocation écologique de l'humain dans la théologie de Douglas J. Hall";"Louis Vaillancourt";"Médiaspaul";"2002";"Dans le contexte de l'actuelle crise écologique, comprise comme l'effondrement de l'image occidentale de l'humain "" maître de la nature "", l'auteur explore un concept anthropologique plus porteur de vie et plus fidèle à la tradition judéo-chrétienne. En effet, à cause des questions radicales que soulève la problématique écologique, la théologie chrétienne est invitée à un examen critique de sa doctrine, en particulier sa conception dualiste et triomphaliste de l'humain. Le thème de l'intendant, une richesse négligée de la tradition judéo-chrétienne, apparaît comme une clé pour identifier et exposer la contribution particulière du discours chrétien : celle de repenser les représentations cosmologiques et anthropologiques, présupposé fondamental à une éthique écologique. Car l'intendance n'est pas une action qu'il faut poser : c'est une manière de "" se poser "", une façon d'être dans le monde qui assume la structure écologique de l'être humain. L'étude du concept d'intendance dans l'œuvre de Douglas John Hall, un théologien anglo-canadien peu connu des milieux francophones, confirme sa pertinence comme axe central d'une théologie écologique. Cette étude fait aussi découvrir des possibilités d'enrichissement de la thématique grâce à l'apport des traditions juive, orthodoxe, et même amérindienne. Mais c'est finalement dans une interprétation christologique que le concept d'intendance trouve sa pleine mesure : un vivre-avec-les-créatures qui s'enracine dans la participation de l'humain à l'intendance du Christ, seule manière d'être avec la nature véritablement et chrétiennement "" écologique "".";286;"BOOK";"Christian stewardship";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=zJMcCq4OaIkC&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=7&source=gbs_api";"http://books.google.fr/books?id=zJMcCq4OaIkC&dq=subject:Nature&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_intendance_de_la_cr%C3%A9ation.html?hl=&id=zJMcCq4OaIkC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=zJMcCq4OaIkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=zJMcCq4OaIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"8";"Le Roundup face à ses juges";NA;"Marie-Monique ROBIN";"La Découverte";"2017-10-19";"Le glyphosate, principe actif du Roundup, produit phare de la marque Monsanto, a été reconnu "" cancérogène probable "" pour l'homme en 2015. En octobre 2016, s'est tenu à La Haye le procès du puissant herbicide, ouvrant la voie juridique vers une reconnaissance du crime d'"" écocide "". Dans ce livre choc, Marie-Monique Robin retrace le déroulement du procès et donne à comprendre les ressorts de l'un des plus grands scandales sanitaires et environnementaux de l'histoire moderne. Depuis plusieurs années, l'inquiétude ne cesse de croître quant aux dangers du pesticide le plus utilisé au monde dans les champs et les jardins : le glyphosate. D'autant qu'en 2015, le Centre international de recherche sur le cancer l'a déclaré "" cancérigène probable "" pour l'homme, contredisant ainsi les agences de santé américaines ou européennes qui avaient assuré l'innocuité du Roundup de Monsanto, puissant herbicide dont le principe actif est le glyphosate. Prolongeant son enquête retentissante de 2008 sur les dangers des produits toxiques de la firme américaine ( Le Monde selon Monsanto, livre et film), Marie-Monique Robin montre dans ce livre (et le film associé) que la dangerosité du glyphosate est plus grande encore qu'on le craignait. Dans le monde entier, il rend malades ou tue sols, plantes, animaux et humains, car l'herbicide est partout : eau, air, pluie, sols et aliments. Le produit, cancérigène, est aussi un perturbateur endocrinien, un puissant antibiotique et un chélateur de métaux. D'où autant d'effets délétères documentés ici par des entretiens très forts avec des victimes aux États-Unis, en Argentine, en France et au Sri Lanka, ainsi qu'avec de nombreux scientifiques. Ce livre choc révèle l'un des plus grands scandales sanitaires et environnementaux de l'histoire moderne. Il montre que, face à l'impuissance ou l'absence de volonté des agences et des gouvernements pour y mettre fin, la société civile mondiale se mobilise : en octobre 2016, s'est tenu à La Haye le Tribunal international Monsanto, où juges et victimes ont instruit le procès du Roundup, en l'absence de Monsanto, qui a refusé d'y participer. Donnant son fil conducteur au livre, ce procès a conduit à un avis juridique très argumenté, qui pourrait faire reconnaître le crime d'"" écocide "", ce qui permettrait de poursuivre pénalement les dirigeants des firmes responsables.";245;"BOOK";"Nature";"NOT_MATURE";FALSE;"1.1.1.0.preview.3";"fr";"http://books.google.fr/books?id=h_w4DwAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=8&source=gbs_api";"https://play.google.com/store/books/details?id=h_w4DwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-h_w4DwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=h_w4DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=h_w4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"9";"Consommer autrement";"La réforme écologique des modes de vie";"Michelle Dobré, Salvador Juan";"Editions L'Harmattan";"2009-10-01";"Nous commençons tout juste à prendre conscience de l'importance de la contribution des modes de vie à la crise écologique. Ainsi,"" la taxe carbone"" est-elle un instrument de fiscalité écologique aujourd'hui en débat. Ce type d'instruments concerne chacun de nous, car il entend traiter la crise écologique en s'attaquant à la consommation, pilier central de notre mode de développement économique actuel. Cet ouvrage porte sur les différents aspects socio-environnementaux de la consommation et des modes de vie.";320;"BOOK";"Social Science";"NOT_MATURE";FALSE;"2.9.6.0.preview.3";"fr";"http://books.google.fr/books?id=BPoXoqyMeYMC&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=9&source=gbs_api";"https://play.google.com/store/books/details?id=BPoXoqyMeYMC&source=gbs_api";"https://market.android.com/details?id=book-BPoXoqyMeYMC";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=BPoXoqyMeYMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=BPoXoqyMeYMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";FALSE;FALSE
"10";"L'Arbre d'or";"Vie et mort d'un géant canadien";"John Vaillant";"Les Éditions Noir sur Blanc";"2014-12-11";"« Le kayak et son propriétaire, Grant Hadwin, forestier expérimenté, étaient portés disparus depuis plusieurs mois. L’homme était un fugitif recherché pour un crime étrange et sans précédent. » Un soir de l’hiver 1997, dans les îles de la Reine-Charlotte, un bûcheron de Colombie-Britannique nommé Grant Hadwin commet un acte d’une violence inouïe. Sa victime est légendaire : un épicéa de Sitka vieux de 300 ans, haut de 50 mètres et entièrement couvert de lumineuses aiguilles dorées. Dans un geste paradoxal, qu’il conçoit comme une protestation contre les dommages causés par l’homme à la nature, Hadwin s’attaque à l’arbre avec une tronçonneuse. L’épicéa tombe deux jours plus tard, jetant la communauté locale dans la consternation. L’Arbre d’or était non seulement une curiosité scientifique, un miracle et une attraction touristique, mais il était sacré pour le peuple des Haïdas. Peu de temps après avoir confessé son crime, Hadwin disparaît dans de mystérieuses circonstances ; à ce jour, il n’a pas été retrouvé. En dénouant les fils de cette histoire vraie, John Vaillant donne à voir la beauté sauvage des côtes de l’Alaska ; il décrit les tensions historiques entre les Européens et les Indiens haïdas, la vie âpre et brutale des bûcherons, ainsi que l’histoire de l’abattage des arbres en Amérique du Nord et ses conséquences pour toute la civilisation occidentale. « Dans une prose riche et imagée, Vaillant évoque le luxuriant milieu naturel où l’épicéa d’or est apparu... Absolument captivant. » The New York Times John Vaillant collabore à divers journaux et revues, comme The New Yorker, The Atlantic, National Geographic. S’intéressant aux frictions entre l’homme et son milieu naturel, il a voyagé à travers les cinq continents. L’Arbre d’or est son premier livre, paru au Canada en 2005 et récompensé par le prestigieux prix du Gouverneur général. Le Tigre, paru en 2010, est un succès dans de nombreux pays ; il a reçu le prix Nicolas Bouvier en 2012. John Vaillant vit aujourd’hui à Vancouver. John Vaillant a reçu le prestigieux prix Windham Campbell 2014 pour l'ensemble de son œuvre.";336;"BOOK";"Nature";"NOT_MATURE";FALSE;"1.1.1.0.preview.3";"fr";"http://books.google.fr/books?id=UPkZCwAAQBAJ&printsec=frontcover&dq=subject:Nature&hl=&as_pt=BOOKS&cd=10&source=gbs_api";"https://play.google.com/store/books/details?id=UPkZCwAAQBAJ&source=gbs_api";"https://market.android.com/details?id=book-UPkZCwAAQBAJ";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=UPkZCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=UPkZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
