"";"volumeInfo.title";"volumeInfo.subtitle";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"1";"Assimilation de l'azote chez les plantes";"aspects physiologique, biochimique et moléculaire";"Jean-François Morot-Gaudry";"Editions Quae";"1997";"Le souci de la protection de l'environnement et de la qualité des aliments ainsi que la nécessité de régulariser les rendements demandent de reconsidérer les potentialités physiologiques des plantes. Par Exemple, l'apport massif et ponctuel d'engrais azotés, pour des raisons économiques et techniques amène des gaspillages souvent à l'origine des pollutions. Améliorer l'efficacité de capture et de stockage de l'azote par les plantes est donc nécessaire. L'application des techniques agronomiques modernes permet déjà de réduire considérablement les pertes de nitrates. Cependant, à l'avenir, les moyens d'action devraient être essentiellement tournés vers la génétique et conduire à l'élaboration de variétés plus économes en azote. L'objectif de cet ouvrage est de publier les principales connaissances acquises ces vingt dernières années sur le métabolisme azoté. Elles permettent d'envisager de nouvelles stratégies d'amélioration des espèces adaptées à des itinéraires techniques appropriés. Ce livre s'adresse aux étudiants de 2e et 3e cycles universitaires et des écoles d'agronomie ou d'agriculture. Il sera très utile aux professeurs de ces établissements et à toutes les personnes qui doivent acquérir rapidement des connaissances dans le domaine de l'assimilation de l'azote chez les plantes supérieures d'intérêt agronomique.";422;"BOOK";"Crops and nitrogen";"NOT_MATURE";FALSE;"0.1.0.0.preview.1";"fr";"http://books.google.fr/books?id=45ceHEqjZtcC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=1&source=gbs_api";"http://books.google.fr/books?id=45ceHEqjZtcC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Assimilation_de_l_azote_chez_les_plantes.html?hl=&id=45ceHEqjZtcC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=45ceHEqjZtcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=45ceHEqjZtcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"2";"L'épidémiologie en pathologie végétale";"mycoses aériennes";"Frantz Rapilly";"Editions Quae";"1991";NA;317;"BOOK";"Fungal diseases of plants";"NOT_MATURE";FALSE;"0.1.0.0.preview.1";"fr";"http://books.google.fr/books?id=Sj3RLjAHGcUC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=2&source=gbs_api";"http://books.google.fr/books?id=Sj3RLjAHGcUC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/L_%C3%A9pid%C3%A9miologie_en_pathologie_v%C3%A9g%C3%A9ta.html?hl=&id=Sj3RLjAHGcUC";3;1;FALSE;TRUE;"http://books.google.com/books/content?id=Sj3RLjAHGcUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=Sj3RLjAHGcUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"3";"Amélioration des espèces végétales cultivées";"objectifs et critères de sélection";"A. Gallais,H. Bannerot";"Editions Quae";"1992";NA;768;"BOOK";"Crop improvement";"NOT_MATURE";FALSE;"0.1.0.0.preview.1";"fr";"http://books.google.fr/books?id=FxMsqJwYe3AC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=3&source=gbs_api";"http://books.google.fr/books?id=FxMsqJwYe3AC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Am%C3%A9lioration_des_esp%C3%A8ces_v%C3%A9g%C3%A9tales_c.html?hl=&id=FxMsqJwYe3AC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=FxMsqJwYe3AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=FxMsqJwYe3AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"4";"Lutte intégrée contre les ravageurs des cultures pérennes tropicales";NA;"Dominique Mariau";"Editions Quae";"1996";"Lutte intégrée contre les ravageurs des cultures pérennes tropicales se veut la synthèse de trente années de recherche entreprises par les spécialistes des départements des cultures pérennes, des productions fruitières et des forêts du Centre de coopération en recherche agronomique pour le développement. Leurs travaux montrent que des résultats importants ont été obtenus en vue d'une utilisation plus rationnelle des pesticides chimiques. Dans bien des cas, cependant, l'action de ceux-ci peut être complétée, voire remplacée, par différentes techniques ou agents biologiques. Cet ouvrage étudie l'utilisation de produits biologiques commercialisés ou de pesticides mieux ciblés sur les ravageurs, le rôle déterminant joué par les insectes auxiliaires, ainsi que les procédés à mettre en place pour en respecter l'action et promouvoir les introductions des parasitoïdes et prédateurs les plus efficaces. Il montre l'impact souvent très important joué par les germes entomopathogènes dans la régulation des populations et les possibilités offertes par leur utilisation comme agent de lutte biologique, la mise en œuvre de techniques culturales défavorables aux ravageurs ou, au contraire, la suppression de méthodes qui leur sont favorables. Il met en évidence l'importance des stimuli olfactifs et visuels dans le comportement des insectes et l'usage que l'on peut en faire, soit comme méthode de lutte directe, soit pour améliorer les connaissances sur l'importance et la dynamique des populations. Enfin, il aborde l'emploi de matériel végétal plus tolérant qui, avec les progrès des techniques d'amélioration du matériel végétal et l'augmentation des connaissances du génome, est un domaine très largement ouvert. Les chercheurs doivent aussi avoir pour souci constant l'application effective de leurs méthodes par les agriculteurs avec un double objectif : mieux protéger les cultures, souvent à moindre coût, pour satisfaire les besoins d'une population sans cesse croissante, et limiter la pollution, le plus gros handicap au développement spectaculaire de l'industrie des pesticides chimiques.";196;"BOOK";"Pests";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=GOf6IKIOaAsC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=4&source=gbs_api";"http://books.google.fr/books?id=GOf6IKIOaAsC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Lutte_int%C3%A9gr%C3%A9e_contre_les_ravageurs_de.html?hl=&id=GOf6IKIOaAsC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=GOf6IKIOaAsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=GOf6IKIOaAsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"5";"Elaboration du rendement des principales cultures annuelles";NA;"Laurette Combe,Didier Picard";"Editions Quae";"1994-01-01";NA;191;"BOOK";"Agronomy";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=WTLrYaBnU3kC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=5&source=gbs_api";"http://books.google.fr/books?id=WTLrYaBnU3kC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Elaboration_du_rendement_des_principales.html?hl=&id=WTLrYaBnU3kC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=WTLrYaBnU3kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=WTLrYaBnU3kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"6";"Flore d'Île-de-France";"Clés de détermination, taxonomie, statuts";" Philippe Jauzein,Olivier Nawrot";"Editions Quae";"2013-11-05";"Second tome de la Flore d’Ile-de-France (Quæ, 2011), un guide de détermination unique en France, qui renoue avec les flores anciennes en offrant plus de 1900 dessins au trait. Cette flore aux clefs de détermination dichotomiques novatrices et actualisées propose une iconographie entièrement renouvelée, des statuts pour chaque taxon (indigénat, rareté, vulnérabilité, patrimonialité, fréquence…) méthodiquement validés et des choix taxonomiques clairement étayés. Elle offre une mise à jour nomenclaturale, un index synonymique moderne et un chapitre de biogéographie intégrant les connaissances les plus récentes.";608;"BOOK";"Botany";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=WxpbAgAAQBAJ&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=6&source=gbs_api";"http://books.google.fr/books?id=WxpbAgAAQBAJ&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Flore_d_%C3%8Ele_de_France.html?hl=&id=WxpbAgAAQBAJ";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=WxpbAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=WxpbAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"7";"Les supports de culture horticoles";"les matériaux complémentaires et alternatifs à la tourbe";"Philippe Morel,Laurent Poncet,Louis-Marie Rivière";"Editions Quae";"2000";"Depuis une vingtaine d'années, les cultures hors-sol ont connu un grand essor et plusieurs matériaux se sont imposés : les tourbes (pour les plantes en pot et les mottes), les écorces (pour les plantes en conteneur) et les laines minérales (en cultures maraîchères et fleurs coupées). A la fin des années 90, de nouvelles contraintes sont apparues : le classement de tourbières européennes en zones protégées, risquant d'entraîner une interdiction d'exploiter et la réglementation européenne imposant une valorisation des déchets après enfouissement. Ce dernier point remet en cause l'utilisation de substrats comme les laines minérales et oriente les recherches vers des substrats de culture dérivés de déchets, organiques ou non, issus des activités humaines. Reposant sur une étude bibliographique approfondie, cet ouvrage décrit (origine, disponibilité et traitements préalables, propriétés physiques et physico-chimiques, caractéristiques agronomiques, contraintes environnementales) et recense les matériaux de toutes origines pouvant entrer dans la fabrication d'un support de culture. Outil pratique d'information pour les fabricants et utilisateurs de substrats, ce livre intéressera aussi chercheurs, enseignants et étudiants à la recherche de références précises ou d'une vision globale du sujet.";87;"BOOK";"Horticultural crops";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=9fXs4SPyJXUC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=7&source=gbs_api";"http://books.google.fr/books?id=9fXs4SPyJXUC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Les_supports_de_culture_horticoles.html?hl=&id=9fXs4SPyJXUC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=9fXs4SPyJXUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=9fXs4SPyJXUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"8";"De la domestication à la transgénèse";"évolution des outils pour l'amélioration des plantes";"André Gallais";"Editions Quae";"2013";"La quatrième de couverture indique : ""L’amélioration génétique des plantes vise à réunir dans un même génotype, la variété, le maximum de gènes favorables pour les caractères à améliorer. Mais quels sont les outils mis en œuvre pour y parvenir ? Cet ouvrage répond à cette question et montre que, depuis la domestication, l’amélioration des plantes a toujours relevé du génie génétique. Ainsi, grâce au croisement et à la sélection, des gènes initialement présents chez des plantes différentes sont associés dans un même génotype. L’autofécondation ou l’haplodiploïdisation permettent de fixer les caractères. Pour accéder à une nouvelle variabilité génétique, des croisements interspécifiques sont aussi réalisés et exploités par la « manipulation » des chromosomes. La mutagénèse est également utilisée dans ce but. Aujourd’hui, les marqueurs moléculaires du génome permettent de passer d’une sélection phénotypique à une véritable sélection sur le génotype. Les progrès dans la transgénèse rendent possible le transfert dans un génome, de façon rapide et précise, de gènes d’espèces plus ou moins éloignées. C’est une ère nouvelle qui s’ouvre pour l’amélioration des plantes. Cet ouvrage s’adresse à tous ceux qui veulent comprendre comment les outils utilisés par la sélection végétale modifient le génotype des plantes. Il est destiné aux techniciens et ingénieurs de la sélection végétale ainsi qu’aux étudiants, enseignants et chercheurs de ce domaine.""";175;"BOOK";"Plant breeding";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=RHCbzEK3KfEC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=8&source=gbs_api";"http://books.google.fr/books?id=RHCbzEK3KfEC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/De_la_domestication_%C3%A0_la_transg%C3%A9n%C3%A8se.html?hl=&id=RHCbzEK3KfEC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=RHCbzEK3KfEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=RHCbzEK3KfEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"9";"Contaminations métalliques des agrosystèmes et écosystèmes péri-industriels";NA;"Philippe Cambier,Christian Schvartz,Folkert Van Oort";"Editions Quae";"2009";NA;304;"BOOK";"Industrial toxicology";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=WGzuAkOp2h4C&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=9&source=gbs_api";"http://books.google.fr/books?id=WGzuAkOp2h4C&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Contaminations_m%C3%A9talliques_des_agrosyst.html?hl=&id=WGzuAkOp2h4C";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=WGzuAkOp2h4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=WGzuAkOp2h4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"10";"Virus des solanacées";"du génome viral à la protection des cultures";"Georges Marchoux,Patrick Gognalons,Kahsay Gébré Sélassié";"Editions Quae";"2008";"Depuis la découverte du virus de la mosaïque du tabac il y a plus d'un siècle, les virus des Solanacées ont joué un rôle pionnier dans les recherches sur les bases moléculaires des interactions virus-vecteurs, les déterminants du pouvoir pathogène, les causes de l'évolution des virus émergents, la caractérisation et l'utilisation des gènes de résistance naturelle et enfin la transgénèse végétale. Pas moins de 164 virus et 7 viroïdes sont connus chez les Solanacées. Plusieurs dizaines sont associés à de graves maladies pour les productions potagères et maraîchères (tomate, pomme de terre, piment, aubergine, pépino, tamarillo, tomatillo...), industrielles (tabac), ornementales (pétunia) ou médicinales (Datura, Atropa, Hyoscyamus, Solanum...). Ce livre présente pour la première fois une synthèse des connaissances, par 18 virologues, généticiens, améliorateurs et taxonomistes de réputation internationale. Le lecteur y trouvera un rappel des données sur les centres de domestication et la dispersion des Solanacées dans le monde et leur taxonomie. Pour chacun des virus qui affectent ces plantes sont détaillées la gamme d'hôtes, la symptomatologie et l'importance des dégâts, la structure et les fonctions du génome, la variabilité et les interactions virus-hôtes, la transmission, l'épidémiologie et la distribution géographique. Sont également développés les progrès récents dans la classification des espèces virales et l'amélioration des méthodes de diagnostic, de détection et de lutte. Richement illustré, comportant un glossaire et plus de 2 000 références bibliographiques, cet ouvrage constituera une source précieuse de documentation pour les étudiants, les enseignants, les chercheurs, les techniciens, les sélectionneurs et les virologues, notamment dans les pays francophones en développement. II est en outre complété par un index des familles, genres et espèces viraux cités.";843;"BOOK";"Solanaceae";"NOT_MATURE";FALSE;"1.1.0.0.preview.1";"fr";"http://books.google.fr/books?id=gP9sUIwxeSsC&printsec=frontcover&dq=subject:Plantes&hl=&as_pt=BOOKS&cd=10&source=gbs_api";"http://books.google.fr/books?id=gP9sUIwxeSsC&dq=subject:Plantes&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Virus_des_solanac%C3%A9es.html?hl=&id=gP9sUIwxeSsC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=gP9sUIwxeSsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=gP9sUIwxeSsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
