"";"volumeInfo.title";"volumeInfo.subtitle";"volumeInfo.authors";"volumeInfo.publisher";"volumeInfo.publishedDate";"volumeInfo.description";"volumeInfo.pageCount";"volumeInfo.printType";"volumeInfo.categories";"volumeInfo.maturityRating";"volumeInfo.allowAnonLogging";"volumeInfo.contentVersion";"volumeInfo.language";"volumeInfo.previewLink";"volumeInfo.infoLink";"volumeInfo.canonicalVolumeLink";"volumeInfo.averageRating";"volumeInfo.ratingsCount";"volumeInfo.readingModes.text";"volumeInfo.readingModes.image";"volumeInfo.imageLinks.smallThumbnail";"volumeInfo.imageLinks.thumbnail";"volumeInfo.panelizationSummary.containsEpubBubbles";"volumeInfo.panelizationSummary.containsImageBubbles"
"1";"Ce que (ne) font (pas) les sociologues";"petit essai d'épistémologie critique";"Charles-Henry Cuin";"Librairie Droz";"2000";"Que produit la sociologie ? Quelle est la valeur cognitive et scientifique de cette production, et à quelle aune doit-on la mesurer ? La démarche de cet essai n'est donc pas seulement analytique. Elles est aussi évaluative puisqu'on tente de mesurer la distance existant entre un certain nombre de pratiques sociologiques et une conception assez exigeante de scientificité.";214;"BOOK";"Critical essays in sociology";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=DBgzoFIMWToC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=1&source=gbs_api";"http://books.google.fr/books?id=DBgzoFIMWToC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Ce_que_ne_font_pas_les_sociologues.html?hl=&id=DBgzoFIMWToC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=DBgzoFIMWToC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=DBgzoFIMWToC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"2";"Le métier de sociologue";"préalables épistémologiques";"Pierre Bourdieu,Jean-Claude Chamboredon,Jean Claude Passeron";"Walter de Gruyter";"2005";"La 4e de couv. indique : ""L'oeuvre de Pierre Bourdieu compte parmi les contributions les plus importantes et novatrices de la sociologie contemporaine. Le métier de sociologue, paru d'abord en 1968, témoigne d'un travail d'auto-réflexion sur la pratique sociologique par ses auteurs Pierre Bourdieu, Jean-Claude Chamboredon et Jean-Claude Passeron à un moment où les débats épistémologiques en sociologie n'étaient pas très avancés. Formés dans la tradition philosophique de Bachelard, Canguilhem, Koyré qui devait amener au tournant relativiste de l'épistémologie, les auteurs visent les embûches de la pensée scolastique. Contre la primauté de la logique de validation, ils accentuent le rôle de la logique de l'invention ; contre la distinction rigide entre théorie et expérience, ils confirment l'unité de la réflexion théorique et du difficile travail de rendre intelligible la réalité concrète de la pratique sociale ; contre l'utilisation aveugle par la sociologie des prénotions de la pensée naïve ou naïvement savante, ils exigent la rupture avec ces prénotions et la construction consciente de l'objet scientifique. Le métier de sociologue est à la fois un manuel et un traité sur la méthode, qui élabore une position originale et déterminée du travail de sociologue, tout en éclairant les ""outils"" de la vigilance épistémologique par des textes classiques des sciences humaines. A son tour, ce livre est devenu un classique pour apprendre à éviter les ""maladies de la raison sociologique"".""";357;"BOOK";"Language Arts & Disciplines";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=2m9rY3phzzcC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=2&source=gbs_api";"http://books.google.fr/books?id=2m9rY3phzzcC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Le_m%C3%A9tier_de_sociologue.html?hl=&id=2m9rY3phzzcC";4;2;FALSE;TRUE;"http://books.google.com/books/content?id=2m9rY3phzzcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=2m9rY3phzzcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"3";"Sociologie et valeurs : quatorze penseurs québécois du XXe siècle";NA;"Gilles Gagné,Léon Gérin,Jean-Philippe Warren";"PUM";"2003-01-01";"Sociologie et valeurs regroupe des textes de sociologues qui se sont penches, tout au long du siecle, sur le statut epistemologique de leur entreprise commune pour tenter de depasser une opposition theorique que leur pratique dementait chaque jour, celle des faits et des valeurs. Chaque texte cle est accompagne d'une presentation de l'auteur, d'une introduction a son uvre, d'un resume du texte presente et enfin d'une bibliographie succincte de l'auteur. L'ensemble forme un guide indispensable qui permet de mieux comprendre l'evolution de la pensee sociologique au Quebec.";393;"BOOK";"Sociologie";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=Z63NA_VcA0UC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=3&source=gbs_api";"http://books.google.fr/books?id=Z63NA_VcA0UC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Sociologie_et_valeurs_quatorze_penseurs.html?hl=&id=Z63NA_VcA0UC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=Z63NA_VcA0UC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=Z63NA_VcA0UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"4";"Dictionnaire de sciences économiques et sociales";NA;"Philippe Deubel,Marc Montoussé,Serge d'. Agostino";"Editions Bréal";"2008";"Dictionnaire construit autour de 80 thèmes incontournables du programme de sciences économiques et sociales aux lycées. Les définitions sont réactualisées en fonction des données les plus récentes.";575;"BOOK";"Dictionnaires";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=Vf0Arl7iStUC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=4&source=gbs_api";"http://books.google.fr/books?id=Vf0Arl7iStUC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Dictionnaire_de_sciences_%C3%A9conomiques_et.html?hl=&id=Vf0Arl7iStUC";4,5;2;FALSE;TRUE;"http://books.google.com/books/content?id=Vf0Arl7iStUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=Vf0Arl7iStUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"5";"Le paradoxe des consequences";"essai sur une théorie wébérienne des effets inattendus et non voulus des actions";"Mohamed Cherkaoui";"Librairie Droz";"2006";"Il existe un troisième monde composé d'effets non intentionnels et non voulus des actions individuelles à côté du premier univers des phénomènes naturels et du second constitué d'artifices qui sont les produits directs et voulus des intérêts et des projets humains. La recherche des conséquences inattendues est un axe fondamental du programme des sciences sociales. Ces phénomènes omniprésents constituent un défi lancé à tous ceux qui ont des représentations simplificatrices de l'ordre social et aux positivistes qui croient en la capacité de la science à prédire toutes les conséquences des actions humaines. Depuis au moins les philosophes écossais jusqu'aux travaux théoriques et empiriques les plus récents, les sciences sociales se trouvent confrontées à cette énigme qu'elles ont tenté d'élucider. C'est dans le cadre de cette réflexion novatrice sur l'ordre social qu'économistes et sociologues au siècle des Lumières ont soulevé le problème général de l'émergence de phénomènes complexes bien avant que les biologistes et les physiciens ne le croisent sur leur chemin plus de cent ans plus tard. Max Weber est sans doute celui qui a le plus contribué à identifier les sources de ces effets remarquables non recherchés. Cette étude a une triple ambition. Elle s'efforce d'abord de reconstruire et de restituer, en la systématisant, la sociologie wébérienne du paradoxe des conséquences à partir des éléments dispersés dans l'œuvre du maître de la sociologie allemande. Elle vise ensuite à concourir à l'édification de la théorie de ces processus en mobilisant les acquis de la recherche actuelle. Elle teste enfin le pouvoir explicatif de cette conception en proposant une interprétation de phénomènes sociaux contemporains.";236;"BOOK";"Action, Théorie de l'";"NOT_MATURE";FALSE;"0.0.1.0.preview.1";"fr";"http://books.google.fr/books?id=BsdlaBmEOhIC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=5&source=gbs_api";"http://books.google.fr/books?id=BsdlaBmEOhIC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Le_paradoxe_des_consequences.html?hl=&id=BsdlaBmEOhIC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=BsdlaBmEOhIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=BsdlaBmEOhIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"6";"La sociologie sur le vif";NA;"Cyril Lemieux";"Presses des MINES";"2010";"Emeutes de Villiers-le-Bel, affaire Kerviel, péripéties de l'Arche de Zoé, fiasco de la France à l'Euro de football, élection de Barack Obama, crise financière : des sujets qui se bousculent à la une des journaux télévisés, la sociologie a-t-elle quelque chose à dire ? Sa vocation première n'a jamais été de s'exprimer dans l'urgence et l'immédiateté. Le temps, souvent très long, de l'enquête lui est nécessaire pour réussir à éclairer d'une intelligibilité nouvelle le monde social qui se bâtit sous nos yeux. Restent pourtant les attitudes et les tournures de pensée qu'elle nous enseigne. Restent ces connaissances, si nombreuses, qu'elle accumule patiemment depuis ses débuts. Autant de ressources pour nous aider, face à un quotidien incertain et opaque, non pas à produire dans l'instant un discours de vérité mais, plutôt, à nous distancier des analyses propres à "" l'air du temps "" et ainsi, peut-être, à mieux saisir des enjeux demeurés inaperçus et à éviter certaines erreurs de jugement. C'est un tel pari émancipateur que poursuit ce livre, où le lecteur retrouvera les chroniques que l'auteur donna, selon un rythme hebdomadaire, sur l'antenne de France-Culture entre août 2007 et juillet 2009. Un fait d'actualité brûlant y est à chaque fois place sous l'éclairage d'une théorie, d'un concept ou d'un raisonnement sociologiques. Manière de revisiter notre époque et, d'un même mouvement, d'éprouver les pouvoirs de distanciation qu'offre la pratique de la sociologie.";326;"BOOK";"France";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=haqo_7x0SCUC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=6&source=gbs_api";"http://books.google.fr/books?id=haqo_7x0SCUC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/La_sociologie_sur_le_vif.html?hl=&id=haqo_7x0SCUC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=haqo_7x0SCUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=haqo_7x0SCUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"7";"Anthropologie et développement";"essai en socio-anthropologie du changement social";"Jean-Pierre Olivier de Sardan";"KARTHALA Editions";"1995";"Depuis 1960, année de leur indépendance, les pays d'Afrique ont connu plus de 30 ans de "" développement "". Cependant les résultats n'ont pas été à la hauteur des espérances et le mot "" développement "" a besoin lui-même d'approches fondées sur l'analyse et le doute. Comment, aujourd'hui, décrire et comprendre les relations multiples qui existent entre les institutions de développement (publiques ou privées) et les populations locales auxquelles elles s'adressent ? La socio-anthropologie considère le "" développement "" comme une forme particulière de changement social, qu'un ensemble complexe d'intervenants (ONG, agences nationales ou internationales, experts, coopérants, techniciens...) cherche à impulser auprès de "" groupes-cibles "" eux-mêmes divers et évoluant selon les dynamiques propres. Ces phénomènes sont particulièrement importants en Afrique, en raison du rôle qu'y jouent les flux d'"" aide "" et les "" projets "" de tous ordres. La socio-anthropologie du développement peut contribuer, pour une part modeste mais réelle, à améliorer la qualité des services que les institutions de développement proposent aux populations, en permettant une meilleure prise en compte des dynamiques locales. Pour ce faire, il faut éviter une anthropologie au rabais, enfermée dans le ghetto de l'expertise et de la consultance. Il ne peut y avoir de "" socio-anthropologie appliquée au développement "" sans une "" socio-anthropologie fondamentale du développement "", dont la compétence en matière de recherche empirique se fonde sur la maîtrise de notions et de concepts situés au cœur des sciences sociales contemporaines et qui se démarque des rhétoriques et des idéologies développementistes. Logiques, rationalités, représentations, stéréotypes, stratégies, innovations, modes d'action économique, détournements, dispositifs, savoirs techniques populaires, médiations, négociations, courtages, arènes... Ces mots clés scandent les analyses ici proposées, alimentées par une abondante littérature comparée et étayées par des exemples de terrain, et dessinent un ouvrage de référence sur le sujet, qui, jusqu'à ce jour, faisait complètement défaut en France.";221;"BOOK";"Africa";"NOT_MATURE";FALSE;"0.1.1.0.preview.3";"fr";"http://books.google.fr/books?id=qTQvS4QNSBcC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=7&source=gbs_api";"http://books.google.fr/books?id=qTQvS4QNSBcC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Anthropologie_et_d%C3%A9veloppement.html?hl=&id=qTQvS4QNSBcC";NA;NA;TRUE;TRUE;"http://books.google.com/books/content?id=qTQvS4QNSBcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=qTQvS4QNSBcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"8";"Sociologie générale et africaine";"les sciences sociales et les mutations des sociétés africaines";"Albert Muluma Munanga G. T.";"Editions L'Harmattan";"2008";"""L'auteur de Sociologie générale et africaine présente les questions théoriques liées notamment aux définitions de la sociologie et de son objet, à sa subdivision, à ses rapports avec les autres disciplines des sciences sociales et humaines, aux grandes théories contemporaines. Il propose la maîtrise des concepts de base s'inscrivant tant au niveau de la microsociologie que de la macrosociologie. L'auteur offre aux lecteurs les outils d'analyse, d'interprétation et de compréhension de la réalité sociale afin d'en proposer des remèdes. La sociologie requiert des méthodes et des techniques complexes. L'originalité de ce livre est de se démarquer de la vision idéologique et classique de certains sociologues qui abordent les réalités africaines dans les seuls cadres du mariage, des traditions et de la prostitution des femmes. Albert Muluma propose de dépasser cette approche statique pour envisager une démarche plus dynamique, les sociétés africaines notamment étant évolutives. Il convient, à juste titre, de prendre en compte les enjeux actuels dont la pauvreté, le sous-développement, les conflits inter-ethniques, la démocratie piégée, les guerres entre les Etats... Ces faits déterminent la morphologie de la réalité sociale, la structure de l'organisation sociale et les conduites collectives""--P. [4] of cover.";328;"BOOK";"Sociologie";"NOT_MATURE";FALSE;"0.1.1.0.preview.1";"fr";"http://books.google.fr/books?id=DKphIglGwIEC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=8&source=gbs_api";"http://books.google.fr/books?id=DKphIglGwIEC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Sociologie_g%C3%A9n%C3%A9rale_et_africaine.html?hl=&id=DKphIglGwIEC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=DKphIglGwIEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=DKphIglGwIEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"9";"Hommages à Alain Pessin";"un sociologue en liberté";"Catherine Dutheil,Yvonne Neyrat";"Editions L'Harmattan";"2007";"Recueil de vingt-deux textes évoquant la figure et les travaux de ce sociologue des imaginaires politiques et spécialiste du XIXe siècle, au sein particulièrement du Centre de sociologie des représentations et des pratiques culturelles (CSRPC) de l'Université Pierre Mendès-France de Grenoble, et du groupe de recherche Oeuvres, publics, sociétés (OPuS) du CNRS.";256;"BOOK";"Sociologie";"NOT_MATURE";FALSE;"preview-1.0.0";"fr";"http://books.google.fr/books?id=8iCkQE2AKosC&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=9&source=gbs_api";"http://books.google.fr/books?id=8iCkQE2AKosC&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/Hommages_%C3%A0_Alain_Pessin.html?hl=&id=8iCkQE2AKosC";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=8iCkQE2AKosC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=8iCkQE2AKosC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
"10";"Dérive autour de l'oeuvre de Michel Maffesoli";NA;"";"Editions L'Harmattan";"2004";"Depuis trente ans, Michel Maffesoli, dont nous fêtons le soixantième anniversaire le 14 novembre 2004, explore l'imaginaire contemporain. S'attachant à une lecture compréhensive de la vie quotidienne, ce sociologue a mis en exergue les grandes figures de la postmodernité: le tribalisme, le nomadisme, le devenir féminin du monde, l'importance du lieu et de l'esthétique dans l'être ensemble...";299;"BOOK";"Sociologie";"NOT_MATURE";FALSE;"0.1.1.0.preview.1";"fr";"http://books.google.fr/books?id=ej3xnRadlx4C&printsec=frontcover&dq=subject:Sociologie&hl=&as_pt=BOOKS&cd=10&source=gbs_api";"http://books.google.fr/books?id=ej3xnRadlx4C&dq=subject:Sociologie&hl=&as_pt=BOOKS&source=gbs_api";"https://books.google.com/books/about/D%C3%A9rive_autour_de_l_oeuvre_de_Michel_Maf.html?hl=&id=ej3xnRadlx4C";NA;NA;FALSE;TRUE;"http://books.google.com/books/content?id=ej3xnRadlx4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api";"http://books.google.com/books/content?id=ej3xnRadlx4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";NA;NA
