"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"1";"L'agriculture sénégalaise à l'épreuve du marché";"KARTHALA Editions";"Peut-on nourrir les villes sans paysans ? Le développement des villes doit-il s'appuyer sur le recours croissant aux importations de produits alimentaires ? Quels sont les débouchés en devenir pour l'agriculture sénégalaise ? Autant de questions qui nécessitent un détour par l'intérieur des filières agricoles. C'est ce qui est proposé ici, avec l'objectif d'amener le lecteur à mieux comprendre les circuits qui relient les systèmes de production agricoles aux marchés. À travers dix-huit études de cas, cet ouvrage reflète la formidable diversité de l'économie rurale sénégalaise : il présente un panorama des filières céréalières, horticoles, oléo-protéagineuses, mais aussi les filières élevage, forestières et halieutiques. A partir de diverses monographies, ce tableau permet de mieux comprendre la réalité d'une agriculture diversifiée, source de tant de "" richesses paysannes "". Il offre ainsi un large aperçu des évolutions actuelles du monde rural sénégalais au terme de vingt années de politiques de libéralisation. Pensé comme un outil d'aide à la réflexion et d'aide à la décision, cet ouvrage sera utile aux responsables professionnels, aux agents des administrations techniques et des projets, aux étudiants, aux chercheurs, et à tous ceux pour qui l'agriculture représente un enjeu crucial pour l'avenir des pays en développement.";"Agriculture";"fr";""
"2";"L'agriculture du Gabon";"KARTHALA Editions";"S'il est un pays africain aux immenses atouts économiques, c'est le Gabon. Outre les richesses de son sous-sol - pétrole, manganèse... - il possède une terre fertile, propice à l'agriculture, et une forêt aux essences recherchées (okoumé, ozigo...). Pourtant, ce pays riche s'enfonce dans la pauvreté. En effet, le pétrole s'épuise, le bois se vend mal, l'agriculture paysanne et industrielle s'effondre au point que le pays importe l'essentiel de sa nourriture. Comment en est-on arrivé là ? L'auteur de cet ouvrage tente de répondre à cette question. Dans un premier temps, elle passe en revue les politiques agricoles par lesquelles les divers gouvernements (coloniaux et nationaux) ont choisi de mettre le pays en valeur. Puis, elle analyse minutieusement les blocages au niveau de chaque type de culture : les cultures vivrières de base (manioc, igname, banane plantain...), les cultures de rente (cacao, café...), les cultures maraîchères, les cultures industrielles (hévéa, palmier à huile, canne à sucre). Ensuite, elle aborde avec le même éclairage les limites au développement de l'élevage, de la pêche et de la filière du bois. Ce qui ressort de cette étude, c'est que les politiques agricoles menées depuis la décolonisation ont été inefficaces. Aggravées par les politiques d'ajustement structurel, elles ont conduit à la misère actuelle dont souffrent principalement les paysans. Toutefois, les potentialités agricoles restent exceptionnelles. Ainsi, par l'analyse des sous-secteurs agricoles, l'auteur s'efforce d'entrevoir des remèdes possibles à la crise actuelle.";"Agriculture";"fr";"Viviane Magnagna Nguema"
"3";"Ils ont domestiqué plantes et animaux";"Editions Quae";"La quatrième de couverture indique : ""Le saviez-vous ? Si le persil est resté au stade de condiment, c'est parce que ses feuilles contiennent en petite quantité une substance toxique. La Nouvelle-Guinée a été un centre de domestication d'une grande importance pour les peuples des zones tropicales. Un tas de détritus a permis d'émettre des hypothèses sur la manière dont les hommes ont commencé à sélectionner les plantes de leur environnement. Les descendants des Aztèques continuent d'ajouter de la chaux à leurs plats de maïs et évitent ainsi trois maladies nutritionnelles. Les poules ont été introduites en Amérique avant sa découverte par Christophe Colomb. La prévention du scorbut par les Anglais, rendue possible par l'une des premières expériences scientifiques modernes, a eu des conséquences géostratégiques immenses. Les premiers critères de sélection des animaux par les hommes du Néolithique ont probablement été une moindre crainte et une agressivité atténuée à l'égard de l'homme, engendrant paradoxalement la sélection des individus les moins vigoureux. Une part non négligeable de la sélection au cours de l'histoire a concerné la toxicité des plantes... De la domestication empirique du Néolithique aux méthodes modernes de sélection, des grands empires de l'Antiquité aux colonisations en passant par les grandes explorations des Européens, cet ouvrage s'attache à décrire, sous l'angle de la nutrition, les plantes et les animaux qui composent notre alimentation.""";"Agriculture";"fr";"Jean Guillaume"
"4";"Chroniques paysannes";"France Agricole Editions";"Aujourd'hui les acteurs du monde rural s'inscrivent dans une longue chaîne de générations qui ont façonné les paysages, nourri les hommes et géré l'environnement. Alors qu'on s'interroge sur le sens de l'agriculture et qu'on prend conscience de la richesse et de la fragilité des campagnes, ces chroniques paysannes viennent rappeler à notre mémoire des pans fondamentaux de l'histoire rurale, ceux qui permettent de comprendre les changements actuels. Le voyage dans le temps auquel les auteurs convient le lecteur court du Moyen Age à l'époque contemporaine. Ils ont choisi de mettre l'accent sur les trois derniers siècles, les plus riches en matière d'évolution pour aider les agriculteurs à mieux appréhender leur environnement actuel. Agriculteurs, aménageurs et décideurs, ruraux de souche et néo-ruraux, y trouveront les jalons qui éclairent le long cheminement du progrès à travers les contraintes et les traditions. Très illustré, ce bel ouvrage rend hommage au monde de l'agriculture, à ses racines comme à son avenir. Très documenté, offrant des analyses éclairantes, il fera référence.";"Agriculture";"fr";"Jean-Marc Moriceau"
"5";"Comprendre l'agriculture familiale";"Editions Quae";"Près de 1,4 milliard de personnes travaillent dans l'agriculture, dont 96 % résident dans les pays du Sud. La plupart des exploitations agricoles de ces régions sont familiales et concentrent la majorité des pauvres de la planète. L'agriculture familiale est donc au coeur d'un formidable enjeu économique et social. Cet ouvrage est consacré à l'analyse et au diagnostic des systèmes de production, auxquels ont recours la majorité des travaux de terrain pour le développement agricole. Il propose une démarche et des outils permettant de décrire les choix et les pratiques des agriculteurs en matière de production et de commercialisation, d'en comprendre la cohérence, et d'en identifier les moteurs techniques, économiques et sociaux. Accompagné d'un cédérom, ce manuel s'adresse à tous les acteurs - agents de développement, techniciens, organisations professionnelles... - qui apportent leur appui au monde agricole. Il les aidera à construire, avec les agriculteurs eux-mêmes, le diagnostic des systèmes de production mis en oeuvre et les solutions pour les améliorer.";"Agriculture";"fr";"Nicolas Ferraton,Isabelle Touzard"
"6";"Rapports État-paysannerie en Chine";"Presses univ. de Louvain";"Où en est la Chine d'aujourd’hui ? Quels problèmes rencontre-t-elle depuis 1978 quand la réforme économique est mise en oeuvre d’abord dans les milieux ruraux? Derrière la croissance remarquable de l’économie chinoise pendant plus de vingt ans, il est important d’explorer les rapports État-paysannerie par problèmes du San Nong, une abréviation en chinois de la paysannerie (Nongmin), la campagne (Nongcun) et l’agriculture (Nongy) et par les pratiques des acteurs (leurs motivations et initiatives). Les problèmes du San Nong, résumés comme suit : « les paysans sont misérables, les campagnes sont pauvres et l’agriculture est en danger », proviennent à la fois des politiques de l’État et des réactions ou des initiatives des paysans. Malgré la nouveauté de ce terme (1996), les problèmes de la paysannerie, de la campagne et de l’agriculture existent déjà depuis des siècles. Ils sont une problématique des rapports État-paysannerie. La paysannerie est d’abord vue comme les agriculteurs qui ont créé la civilisation chinoise. Vue comme dominée après l’importation du concept de classe, elle a joué un rôle très important dans l’alternative des dynasties impériales et dans l’établissement de l’État contemporain. Enfin, elle devient une identité rurale depuis 1958 par l’introduction du hukou rural, mais elle a contribué à la croissance économique rapide entre 1980 et 1990. Le terme paysannerie chinoise n’exclut pas la richesse des aspects culturels et sociaux qui concernent les relations avec la nature et entre les personnes dans leur vie quotidienne. L’État peut emprunter beaucoup d’éléments extérieurs bénéfiques dans globalisation, mais il ne peut emprunter une population comme acteur du développement durable. Si l’État pouvait lier sa stratégie du développement avec son propre peuple, il pourra éviter de seulement suivre une voie d’imitation non adaptée aux bases de la société chinoise. L’État doit partir de son propre peuple, dont la paysannerie est et restera une composante importante, dans le sillage et l’héritage d’un processus de développement millénaire qui a reposé sur tous les acteurs sociaux. La paysannerie chinoise reste la base de la culture, de l’identité et de la durabilité chinoises et sera encore porteuse dans un futur.";"Agriculture";"fr";"Huaqiong Pan"
"7";"Mémento de l'agronome";"Editions Quae";"Indispensable aux agronomes et techniciens de terrain, cette nouvelle version du Mémento de l'agronome, totalement remaniée et adaptée aux nouveaux enjeux du développement des pays du Sud, se compose d'un livre et de deux cédéroms (compatibles PC et Mac Os 9). Le livre propose des informations techniques, des repères méthodologiques et des connaissances scientifiques de base en agronomie et zootechnie. Du diagnostic à l'intervention, de l'amélioration des systèmes de culture et d'élevage aux principaux groupes d'animaux élevés et de plantes cultivées, les professionnels de terrain trouveront dans ce Mémento l'information, le conseil méthodologique ou la référence dont ils ont besoin. Sommaire, index et renvois entre chapitres permettent au lecteur de naviguer aisément dans ces 1 700 pages. Le premier cédérom propose le contenu du livre ainsi que de nombreux documents et illustrations complémentaires. Le second est une bibliothèque de 150 documents en texte intégral.";"Agriculture";"fr";"France. Ministère des affaires étrangères"
"9";"Comment utiliser les marchés à terme agricoles et alimentaires";"France Agricole Editions";"La stabilité des prix des matières premières est rare, c'est l'exception. Les marchés à terme offrent des techniques de couverture du risque de fluctuation des prix. S'approprier ces outils semble vital pour la pérennité des entreprises dont l'activité est dépendante de la fluctuation des cours des matières premières agricoles. La gestion du risque de prix doit faire partie intégrante des métiers des acteurs des filières : du producteur au consommateur, en passant par les organismes stockeurs, les industriels et la grande distribution. Il en va de leur pérennité. Que cet ouvrage soit un guide pour alimenter leur réflexion et concevoir leur stratégie commerciale.";"Agriculture";"fr";"Francis Declerck"
"10";"Analyse des filières de production agricole";"Editions L'Harmattan";"A mi-chemin entre la microéconomie et ma macroéconomie, méthode d'analyse et outil de planification par excellence, l'approche filière telle qu'abordée à travers cet ouvrage, est présentée sous l'angle de sa facile utilisation et de son utilité dans les économies en voie de développement confrontées au manque d'outils d'évaluation des apports sectoriels dans l'économie nationale et les éléments de support pour l'amélioration de la compétitivité internationale des segments de l'économie nationale. Cet ouvrage aborde, par ailleurs, les fondements théoriques de l'approche filière sans verser dans une confrontation stérile entre les différentes approches économiques mais introduit toutefois les limites de l'approche néoclassique à appréhender tous les contours d'une analyse de filière. A ces titres, cet ouvrage intéresse les décideurs en charge de la planification de l'économie agricole ou globale, les étudiants et chercheurs/consultants en quête d'outils d'analyse de filière, très souvent demandée par les responsables des projets de développement. Cet ouvrage amorce une discussion au sein des économistes (agroéconomistes ou non) sur la capacité des différents courants théoriques à appréhender la réalité économique dans les pays en voie de développement ou même au-delà.";"Agriculture";"fr";"Ali Madi"
"11";"Les Déterminants de la Production Agricole en Afrique de L'Ouest";"KARTHALA Editions";"En Afrique de l'Ouest, une série de facteurs contribue à la baisse de la productivité agricole : la dégradation de l'environnement, la forte croissance démographique, les attaques acridiennes, la performance insuffisante des économies. De nombreux pays enregistrent d'énormes déficits alimentaires. Une telle situation ne peut être améliorée qu'à partir de l'adoption de nouvelles technologies visant à l'obtention de meilleurs rendements. Dans cet ouvrage organisé en quatre chapitres, les auteurs se penchent sur les déterminants d'une meilleure productivité agricole. L'accent est surtout mis sur les aléas climatiques de ces dernières décennies, marquées par de fortes irrégularités saisonnières et une baisse régulière de la pluviométrie. Aux aléas climatiques s'ajoute le problème de la fertilité des sols caractérisé le plus souvent par un faible taux de matières organiques : carence en phosphore et en azote, complexe absorbant insuffisant, petite capacité de rétention en eau, etc. Enfin, dans les régions à forte densité de population ( exemples du Ghana et du Togo ), le taux de croissance démographique élevé agit négativement sur le potentiel foncier, caractérisé par la dégradation des ressources naturelles. Les auteurs exposent ici les réalités de ces facteurs déterminants pour la sécurité alimentaire, afin de permettre aux décideurs de mieux les intégrer à leur politique de développement du secteur agricole.";"Agriculture";"fr";"Bernard Yapo Kouassi"
