"","line","text","genre"
"1",1,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Edition anniversaire pour les 10 ans de la parution d'Un monde sans fin. Jaspage argenté, rabat fourreau, fer à dorer vert et vernis sélectif.1327. Quatre enfants sont les témoins d’une poursuite meurtrière dans les bois : un chevalier tue deux soldats au service de la reine, avant d’enfouir dans le sol une lettre mystérieuse, dont la teneur pourrait mettre en danger la couronne d’Angleterre. Ce jour lie à jamais leurs sorts... L’architecte de génie, la voleuse éprise de liberté, la femme idéaliste, le guerrier dévoré par l’ambition : mû par la foi, l’amour et la haine, le goût du pouvoir ou la soif de vengeance, chacun d’eux se bat pour accomplir sa destinée dans un monde en pleine mutation – secoué par les guerres, terrassé par les famines, et ravagé par la Peste noire. Avec Un monde sans fin, Ken Follett nous offre une nouvelle fresque historique aussi séduisante et captivante que Les Piliers de la Terre, cette superbe épopée romanesque qui avait pour cadre l’Angleterre du xiie siècle.Même lieu, même suspense, même souffle. Le résultat est à la hauteur du pari : osé et réussi. Femmes.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"2",2,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Décembre 1944. C'est la contre-offensive allemande dans les Ardennes belges. Pris de panique, un curé confie Renée, une petite fille juive de sept ans, à deux soldats américains. Ce sont en réalité des SS infiltrés, chargés de désorganiser les troupes alliées. Ils décident d'exécuter la fillette. Mais au moment de tirer, Mathias, troublé par le regard de l’enfant, tue l’autre soldat. Commence dès lors une cavale, où ils verront le pire, et parfois le meilleur, d'une humanité soumise à l'instinct de survie.Un roman captivant et troublant, porté par une écriture limpide, et dans lequel aucun personnage n'est blanc ou noir.    Emmanuelle Pirotte sonde les zones troubles de ces âmes grises qui sont les nôtres.  Jeanne de Ménibus, Elle.  Dès son premier roman, Emmanuelle Pirotte impose une voix, un ton, un regard.  François Busnel, L’Express.  Un récit comme on en lit rarement.  Amélie Cordonnier, Femme actuelle.Prix Historia du meilleur roman.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"3",3,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           France, 1939. Dans un village de la Loire, Vianne Mauriac fait ses adieux à son mari, qui part au front, et se retrouve seule avec sa fille. Très vite, elle est forcée d'accueillir un officier allemand sous son toit. Elle choisit de protéger sa fille avant tout, quel qu’en soit le prix...Sa sœur cadette, Isabelle, dix-huit ans, s'installe à Paris le jour de l'entrée des Allemands dans la ville. Impétueuse et pleine d'idéaux, elle s'engage dans la Résistance sous le nom de code «  Le Rossignol  ».Deux sœurs, deux destins, chacune jouant sa propre survie dans la France occupée par les nazis. Véritable best-seller aux Étas-Unis (un million d’exemplaires vendus), Le Chant du Rossignol est un grand roman sur l’amour, la liberté, les idéaux et sur le rôle des femmes pendant la guerre.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"4",4,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1939. La fin des années d'insouciance. À Toulouse comme ailleurs, les hommes qui refusent de voir grandir leurs enfants dans une Europe soumise aux nazis s'engagent et partent pour le front. Beaucoup n'en reviendront pas. D'autres, comme Étienne, prisonniers en terre ennemie, se retrouvent ballotés de camp en camp, dans des conditions toujours plus rudes à chaque tentative d'évasion. Au pays, les femmes ne baissent pas les bras. Mélina, qui vient d’accoucher, est persuadée que pour revoir un jour Étienne, elle doit se montrer digne de lui. Confiant leur petit garçon à un couple d'amis, elle rejoint la Résistance...Des bords de la Garonne à la Prusse orientale, cette fresque romanesque, qui fait suite à Nos si beaux rêves de jeunesse, est un hymne à la vie, à la liberté et à l'espérance.       
    
  
  
  
  
  
  
  

  
  ","Historique"
"5",5,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           À trente ans, Karl Schuster, originaire de Transylvanie, a déjà conquis le milieu de l’art à Berlin et sillonne l’Europe. D'abord ébloui par Sarah, Karl découvre ensuite  la passion avec Esther  jusqu’à l’inévitable séparation. Avec Janina, l’amour renaît sous une autre forme et c’est elle qui le guidera parmi les dangers de la guerre.À l’heure de l’attentat contre Hitler, que signifie le dernier message de Janina  ? Quelle machine infernale les nazis cachent-ils au sanatorium d’Obrawalde  ? Sauvé de la mort par les femmes de Berlin, Karl évite le goulag soviétique, mais il doit rendre des comptes aux autorités américaines. Réfugié à Vienne, il cherche la trace d’Esther. Pourquoi dissimule-t-elle son mystérieux prénom  ? C’est à cause d’elle que Karl se retrouvera si loin de ses tilleuls de Berlin, et si près de la vérité.  Un roman foisonnant. Une fresque artistico-historique richement documentée.  Thierry Clermont, Le Figaro littéraire.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"6",6,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Coffret regroupant les 3 tomes de la trilogie ""Le Siècle""- La chute des géants- L'Hiver du monde- Aux portes de l'éternité     
    
  
  
  
  
  
  
  

  
  ","Historique"
"7",7,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Quand elle arrive en 1665 à Paris, Anne-Sophie n’a que seize ans mais beaucoup d’espérances. Issue de la noblesse bretonne, elle a quitté Lannion avec sa cousine Viviane pour se marier à un homme qu’elle ne connaît pas. Tandis qu’elle s’émerveille de la découverte de Paris, fréquente le salon de Mlle de Scudéry et côtoie Mme de Sévigné, Viviane épouse la cause des Sœurs de la Charité et se rapproche de Jeanne Guyon.Des fastes de Versailles à la misère du peuple, de l’exil de Fouquet à la révocation de l’édit de Nantes, Catherine Hermary-Vieille brosse de fabuleux portraits – de Mme de Maintenon, de Ninon de Lenclos, de Fénelon ou de Bossuet – et embrasse les contradictions d’une époque d’ombres et de lumières. Un livre d’aventures passionnant en costume d’époque et forcément béni de Dieu. Gilles Martin-Chauffier, Paris-Match.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"8",8,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Rome, 1930. Un jeune étranger séjourne à l'Istituto d'Arte pour y poursuivre ses recherches sur le peintre Nicolas Poussin. Il fait la cour à Giulia Falconieri, jeune aristocrate à la pureté sculpturale, tandis que la sensuelle Wanda, d'origine polonaise, le pourchasse. Chacun triche dans ce triangle amoureux, camoufle sa véritable identité – sexuelle notamment. Lorsque le narrateur fait la connaissance d'Igor, fils d'une famille russe ayant fui la révolution d'Octobre pour se réfugier dans l'Italie mussolinienne, son destin bascule. Par amour pour cet homme, il va devenir un espion au service du régime communiste. À Moscou, où les deux agents novices apportent les documents qu'ils ont réussi à subtiliser dans la capitale italienne, les mâchoires du piège se referment sur eux… Ce roman entremêle avec brio destins individuels et illusions collectives. Franck Colotte, La Quinzaine littéraire.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"9",9,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Dans l’Angleterre du XIIe siècle ravagée par la guerre et la famine, des êtres luttent pour s’assurer le pouvoir, la gloire, la sainteté, l’amour, ou simplement de quoi survivre. Les batailles sont féroces, les hasards prodigieux, la nature cruelle. Les fresques se peignent à coups d’épée, les destins se taillent à coups de hache et les cathédrales se bâtissent à coups de miracles… et de saintes ruses. La haine règne, mais l’amour aussi, malmené constamment, blessé parfois, mais vainqueur enfin quand un Dieu, à la vérité souvent trop distrait, consent à se laisser toucher par la foi des hommes.Abandonnant le monde de l’espionnage, Ken Follett, le maître du suspense, nous livre avec Les Piliers de la Terre une œuvre monumentale dont l’intrigue, aux rebonds incessants, s’appuie sur un extraordinaire travail d’historien. Promené de pendaisons en meurtres, des forêts anglaises au cœur de l’Andalousie, de Tours à Saint-Denis, le lecteur se trouve irrésistiblement happé dans le tourbillon d’une superbe épopée romanesque dont il aimerait qu’elle n’eût pas de fin.      
    
  
  
  
  
  
  
  

  
  ","Historique"
"10",10,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Rome la rouge, Rome la sanglante a vaincu. Lorsque Séléné, la fille de Marc Antoine et de Cléopâtre, y pénètre, enchaînée à son jumeau lors du triomphe d’Octave, elle n’entend que les hurlements de la foule et les cris des prisonniers qu’on traîne. La petite captive, bientôt seule survivante de sa fratrie, est confiée à Octavie, sœur du nouveau maître et première dame de Rome, mère nourricière de nombreux orphelins de haute lignée. Séléné grandit au sein de cette tribu impériale. Tandis qu’Octave Auguste impose au monde sa puissance tyrannique, Séléné s’imprègne peu à peu de cette culture qu’elle rejetait. Mais, en secret, la jeune fille refuse d’oublier que sa nouvelle patrie fut l’ennemie jurée de sa mère, et rêve de vengeance… Entre splendeur et cruauté, une fresque puissante où l’on suit le destin de Séléné, la princesse mélancolique des Enfants d’Alexandrie.Une verve sans pareille. Une parfaite réussite. M.-Fr. Leclère, Le Point.     
    
  
  
  
  
  
  
  

  
  ","Historique"
