line,text,genre
1,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Quand Dmitry Alexeïevitch, traducteur désargenté, insiste auprès de son agence pour obtenir un nouveau contrat, un étrange texte lui échoit. C’est le récit d’une expédition dans les forêts inexplorées du Yucatán au xvie siècle, armée par le prêtre franciscain Diego de Landa. Et les chapitres lui en sont remis au compte-gouttes par un mystérieux commanditaire.Aussi, quand l’employé de l’agence est sauvagement assassiné et que les périls relatés dans le document s’immiscent dans son quotidien, Dmitry Alexeïevitch prend peur. Dans les ombres du passé, les dieux et les démons mayas se sont-ils acharnés à protéger un savoir interdit ? À moins, bien entendu, que le manuscrit espagnol ne lui ait fait perdre la raison. Alors que le monde autour de lui est ravagé par des ouragans, des séismes et des tsunamis, le temps est compté pour découvrir la vérité.Savant mélange de suspense ésotérique et de réalisme fantastique, Sumerki est le deuxième roman de Dmitry Glukhovsky.  Prix Utopiales européen 2014.  Traduit du russe par Denis E. Savine.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
2,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           La famille Ferrayor a laissé derrière elle les ruines fumantes de Fetidborough pour s'installer à Londres. Depuis, les Londoniens observent d'étranges phénomènes : des disparitions, des objets qui apparaissent, d'autres qui se transforment. Et cette nuit perpétuelle qui a envahi la ville…Pour éradiquer le fléau, la police est à la recherche de ces dangereux personnages. Clod va devoir choisir son camp, déchiré entre sa famille et les habitants de la capitale. À moins que la lumière ne vienne finalement d'un amour que Clod pensait enseveli.  Dernier volume de la « Trilogie des Ferrailleurs », La Ville tient toutes ses promesses en concluant l'incroyable épopée de la famille Ferrayor. Après Le Château et Le Faubourg, Edward Carey déploie son talent d'écrivain et de dessinateur au service d'un univers inoubliable.  Un héritier des rêves illuminés de Borges, Calvino et Perec.  The New York Times Review of Book.Traduit de l’anglais par Alice Seelow.       
    
  
  
  
  
  
  
  

  
  ",Fantastique
3,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Le fortuné Richard Walker vient de mourir et laisse derrière lui un vaste manoir rempli des vestiges de toute une vie. Son ex-femme et ses enfants sont là pour récupérer l’héritage.Mais les Walker ne sont pas seuls. Alice et Sandra, les anciennes résidentes, mortes depuis longtemps, sont liées à la demeure et s’éternisent dans ses murs. Elles observent la famille et s’expriment à travers le sifflement d’un chauffage, le grincement d’une marche ou le clignotement d’une ampoule.Lorsque le monde des esprits se heurte à celui des humains, de terribles événements refont surface et provoquent un véritable cataclysme.  Traduit de l’anglais (États-Unis) par Alice Delarbre.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
4,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           «  J’ai confectionné quelques petites choses pour toi, Fidèle Lecteur. Viens, assieds-toi près de moi. Je ne mords pas. Sauf que… nous nous connaissons depuis très longtemps, toi et moi, et je me doute que tu sais que ce n’est pas entièrement vrai. Hein  ?  »  Un homme revit sans cesse sa vie (et ses erreurs), un journaliste provoque la mort de ceux dont il prépare la nécrologie, une voiture dévore les badauds... Dans ces 21 nouvelles, précédées chacune d'une introduction du maître sur les coulisses de leur écriture, Stephen King démontre une nouvelle fois sa maîtrise dans l’art du récit et le mélange des genres.  Stephen King s’en donne à cœur joie.  Le Parisien magazine.  Une chaleureuse expérience de «  littérature commentée  », une berceuse complice au seuil des «  mauvais rêves  ».  Télérama.  En bonus, une nouvelle inédite.  Traduit de l'anglais (États-Unis) par Nadine Gassie et Océane Bies.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
5,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Un soir d’orage, Charlotte découvre un petit garçon blotti au pied de son immeuble, ses cheveux sombres dégoulinant, son T-shirt plaqué par la pluie. Elle lui propose de s’abriter chez elle. Là, l’enfant lui tient des propos ahurissants  : ses parents et son grand-frère sont des «  créatures de l’ombre  », des tueurs à gages aux pouvoirs surnaturels, baptisés les Scorpi. Lui-même, Élias, est en apprentissage.La jeune femme n’en croit d’abord pas un mot. Mais, bientôt, elle découvre dans son salon un grand brun aux yeux bleu azur  : Adam, le frère aîné d’Élias, vient d’entrer dans sa vie, et celle-ci va tourner à la cavalcade. Comment réagir quand on a vingt-trois ans, qu’on est seule et plutôt pacifique, et qu’on tombe amoureuse d’un tueur à gages qui n’est même pas humain  ?Découvrez le premier volet de la série «  Scorpi  » avec une histoire d’amour survitaminée dans un Paris teinté de surnaturel.  Passionnant et addictif.  PopCulte  En bonus, trois nouvelles inédites  : Scorpi, les origines.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
6,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Depuis qu’elle vit au manoir Scorpi, Charlotte découvre un nouveau monde. Entre son fiancé Adam, sa singulière famille de tueurs à gages et, surtout, son formidable petit frère Élias, les journées sont déjà bien remplies. Et il y a aussi toutes les créatures magiques qui s’efforcent d’agir normalement pour lui faire plaisir... Même si Charlotte ne sait plus si elle doit trembler ou rire, elle les adore  ! Mais, lorsqu’un homme, dit le Chasseur, entreprend de les traquer et de les éliminer, leur vie bascule dans l’angoisse. Adam lui-même le redoute, et est contraint de se cacher. Seule Charlotte a donc la capacité d’agir. Pourtant elle n’est qu’une humaine, c’est elle la plus faible normalement  !Ce deuxième volet de la série prouve que la vie chez les Scorpi, c’est du romantisme, de l’humour et du danger.  En bref, à lire, à lire, à lire.  Boulimique des livres.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
7,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Une semaine à Venise avec sa meilleure amie, voyage en jet privé et chambre avec vue sur la place Saint-Marc… Trop beau pour être vrai  ? Oui, Charlotte aurait dû se méfier. Elle se retrouve à pister un ennemi mortel des Scorpi, le Chasseur. Aidée par une étrange créature cachée dans les canaux, elle remplit sa mission, mais découvre que celui-ci est loin d’être seul  ! Toutes les familles de l’ombre vont alors converger vers Venise pour livrer combat, envoyant leurs meilleurs tueurs, plus terrifiants les uns que les autres… les pires étant sa propre belle-famille  !Heureusement, Charlotte peut toujours compter sur Adam et son petit frère Élias, sans oublier Croquette, le chien le plus peureux de la Terre, qui va devenir sans conteste un des héros de l’aventure  !Le troisième et dernier volet de la fabuleuse série «  Scorpi  »  !  Un enchantement. On en redemande  !  L’Éden des rêves.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
8,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Dans le quartier de Batawin, à Bagdad, en ce printemps 2005, Hadi le chiffonnier récupère des fragments de corps abandonnés sur les lieux des attentats pour les coudre ensemble. Plus tard, il raconte que la mystérieuse créature qu’il a fabriquée – «  Trucmuche  » – a pris vie et qu’elle écume les rues pour venger les victimes dont elle est constituée.À travers les pérégrinations sanglantes de cet être monstrueux mais aussi capable d'humanité, Ahmed Saadawi, entre réalité et conte fantastique, superstitions magiques et croyances religieuses, dresse le portrait d'une ville où tout le monde a peur de l'inconnu et où la frontière entre le bien et le mal demeure toujours incertaine.    Un roman salutaire et intense.  Léonard Billot,  Les Inrockuptibles.    Ahmed Sadawi sait étonnamment évoquer la souffrance tout en maintenant de la tendresse pour les ressources imprévues des vivants. Remarquable.  Éric Dussert, Le Monde diplomatique.  Prix international du roman arabe. Grand prix de l’Imaginaire.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
9,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Quand Andrew Battell s’embarque sur un navire corsaire en 1589 et quitte l'Angleterre élisabéthaine en quête de gloire et de fortune, il ne peut deviner qu'il restera vingt ans prisonniers des «  sombres terres d'Afrique  ». Capturé par les Portugais sur les côtes du Brésil, expédié en Angola, il va subir les pires coups du sort, mais aussi connaître les plus grandes joies. Amour, guerre, évasions, magie, dangers et trahisons en tout genre… son destin ressemblerait à la trame d'un roman de cape et d'épée s'il ne se doublait d'un étrange appel : dans cette région du monde vit un démon, Calandola, roi réputé immortel des guerriers jaqqas, des cannibales sanguinaires. Or Andrew Battell va devenir un des leurs. Et plonger dans le cœur sauvage du monde.Un roman fascinant dans lequel Silverberg, en empruntant un destin authentique, nous offre à la fois le grand frisson de l'aventure et une puissante charge contre tous les colonialismes.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
10,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Un coffret collector à l'occasion du retour du célèbre clown-tueur au cinéma !  Tout avait commencé juste avant les vacances d’été quand le petit Browers avait gravé ses initiales au couteau sur le ventre de son copain Ben Hascom. Tout s’était terminé deux mois plus tard dans les égouts par la poursuite infernale d’une créature étrange, incarnation même du mal. Mais aujourd’hui tout recommence.Les enfants terrorisés sont devenus des adultes. Le présent retrouve le passé, le destin reprend ses droits, l’horreur ressurgit. Chacun retrouvera dans ce roman à la construction saisissante ses propres souvenirs, ses angoisses et ses terreurs d’enfant, la peur de grandir dans un monde de violence.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
