"","text","genre"
"1","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
              
    
  
  
  
  
  
  
  

  
  ","Policier"
"2","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Dans un bourg du Nord, Yvan est apprenti menuisier. Né d’un père borné et réac, et d’une mère qui rêverait qu’il devienne artiste, c’est un adolescent complexé et solitaire, moqué pour sa laideur et sa différence par ses camarades. Tout près de chez lui, un enfant est retrouvé mort, assassiné. Les policiers débarquent dans la maison familiale pour une enquête générale, un engrenage implacable se met alors en branle. La mère d’Yvan s’emmêle dans ses déclarations, leur ment, revient sur ses propos. Tétanisé et mutique, Yvan se contredit plusieurs fois, et se fait piéger à la suite d’un petit mensonge…L’univers sombre et cruel de Frédéric Viguier emprunte tout à la fois au cinéma radical de Bruno Dumont et au roman social, et y ajoute le suspense d’un roman noir.Un roman aussi envoûtant que glacial. Lou-Eve Popper, L’Express.Mensonges, retournements, manipulations, doutes, chaque page fait vaciller nos certitudes. Renversant. Nedjma Van Egmond, Le Parisien Magazine.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"3","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Ivre et pris d’un accès de violence, le président de l’Afrique du Sud tue son épouse d’un coup de lance. Sans scrupule, il ordonne aussitôt à son fidèle exécuteur des basses œuvres d’organiser le mensonge qui lui permettra de rester au pouvoir. Comment ? En forçant un ancien flic à la réputation irréprochable à monter une enquête bidon accusant quelqu’un d’autre à sa place. Pendant ce temps, l’inspecteur Disaster Zondi, relégué à des tâches subalternes après avoir critiqué le régime corrompu post-apartheid, est expédié en plein milieu du désert du Kalahari pour y arrêter un vieux suprématiste blanc accusé d’avoir tué un jeune Noir.Au fil de la progression des deux enquêtes et des mensonges, la tension grimpe, crispe les masques d’une humanité prise à son propre piège et laisse apparaître la réalité de l’Afrique du Sud d’aujourd’hui.Roger Smith ne fait de cadeau à personne. Il cogne sans retenue. Alain Léauthier, Marianne.Traduit de l’anglais (États-Unis) par Estelle Roudet.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"4","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Paris, à quelques jours du dimanche de Pâques. Un homme d'une soixantaine d'années est retrouvé assassiné dans un pub, une balle dans chaque genou, une troisième dans le front. L'autopsie révèle sur son corps une fresque d'entrelacs celtiques et de slogans nationalistes nord-irlandais. Trois lettres barrent le haut de son dos : IRA. Le capitaine Mehrlicht fait la grimace. Enquêter sur un groupe terroriste en plein état d'urgence ne va pas être une partie de plaisir. Pourtant, le conflit irlandais semble bien s'inviter à Paris...Nicolas Lebel nous entraîne sur la piste d'un tueur pyromane, un monstre né il y a plus de quarante ans au cœur des violences de la guerre civile, qui vient rallumer les feux de la discorde dans les rues de la capitale française.  Une lecture anxiogène. Les fans du capitaine Mehrlicht vont se régaler. Khadija Moussou, Elle.Un roman qui a de la profondeur, où les protagonistes sont creusés. Jacques Teissier, Mediapart.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"5","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           À la suite d'une profonde déception sentimentale, la capitaine de police Isabelle Mayet a souhaité quitter le quai des Orfèvres pour un poste à Nantes, où elle pourra veiller sur sa mère. En renonçant au prestigieux siège de la Police judiciaire, elle pense faire une croix sur sa carrière. Jusqu'à ce que le cadavre ensanglanté d'un vieil ermite, découvert dans un bunker allemand de la seconde guerre mondiale, lui offre un exutoire. Crime ou suicide ? L'affaire est plus complexe qu'il n'y parait. Plus dangereuse aussi. Sur les bords de Loire, des enquêtes inachevées remontent à la surface. De sinistres souvenirs qui dormaient dans la vase. Isabelle n'est plus la chasseresse. Elle est devenue la proie.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"6","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Paolo, guitariste underground, fait de la filature pour un détective privé. Sa mission : suivre Birdy, jeune femme en péril qui a fui son milieu huppé pour vivre avec des squatteurs.Au même moment, une crise sanitaire éclate. Des douzaines de jeunes meurent après avoir consommé une nouvelle pilule bleue, sorte de « roulette russe chimique » qui fait fureur dans la nuit parisienne. L'inspecteur Ibanez est chargé de l'enquête.Birdy est-elle liée à cette dérive macabre ? Comment stopper cette drogue qui cible les moins de trente ans ? Un voyage choc dans les ténèbres de la nuit, aussi haletant qu'effrayant.    Foisonnant, provocateur, musical, drôle et trash.  Caryl Férey.    Un thriller rock qui secoue fort et électrise le lecteur. Renaud Baronian, Le Parisien.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"7","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Week-end de la Saint-Jean sur l'île de Sandhamn. Les jeunes fêtards ont envahi les pontons, le port grouille de bateaux blancs. Musique à fond et alcool à flots. Nora Linde s'apprête elle aussi à célébrer la Saint-Jean avec son nouveau compagnon, Jonas, et sa fille, Wilma. Mais la fête tourne au cauchemar lorsque, dans la nuit, Wilma disparaît. Le lendemain, le cadavre d'un garçon de seize ans est retrouvé sur la plage. L'inspecteur Thomas Andreasson, l'ami d'enfance de Nora, est dépêché sur les lieux. Les premiers éléments de l'affaire lui en révèlent toute la difficulté, chacun ayant sa propre version des faits. Qui est la victime et qui est le meurtrier de cette nuit d'été ?La nouvelle enquête de l'inspecteur Thomas Andreasson et de Nora Linde, le couple qui a inspiré la  série télévisée Meurtres à Sandhamn diffusée sur Arte.  Viveca Sten s’affiche comme la nouvelle valeur sûre du thriller suédois.  CNews Matin.  Du suspense psychologique bien ficelé.  Prima.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"8","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Elle s'appelait Caitlin. Elle avait dix-huit ans quand elle a disparu.Le ciel est d'un bleu pâle, quelques nuages blancs glissent sur les sommets. Une beauté à couper le souffle. Une véritable carte postale. Les Rocheuses ont envoûté les Courtland, qui y passent leurs vacances d'été tant attendues. Un matin, Caitlin et son jeune frère, Sean, partent pour un jogging sur les petites routes bordées de sapins. Sean sera le seul à en revenir.La famille bascule dans le cauchemar. Entraîné dans un tourbillon d'effroi et de culpabilité, le père de Caitlin s'installe dans la région pour aider les enquêteurs. Mais les semaines deviennent des mois et la jeune fille reste introuvable.Best-seller du New York Times et du Boston Globe, coup de cœur des libraires indépendants américains, La Descente mêle finement drame familial et grands espaces.    L’auteur réussit le pari d’allier efficacité et élégance.  The Washington Post. Traduit de l’anglais (États-Unis) par Emmanuelle Aronson.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"9","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1547. Dix ans après avoir quitté la cour de François Ier, Quentin aurait-il pu imaginer que son fils Pierre lui causerait tant de soucis ? Le jeune homme, au service de l'ambassadeur de France à Constantinople, a été vu avec la fille d'un vizir, au mépris des mœurs, à la cour de Soliman le Magnifique. Retenu prisonnier, son sort dépend désormais des talents culinaires de son père : Quentin n'a d'autre choix que de venir plaider sa cause en personne ! Heureusement, il dispose d'un argument de poids pour flatter les papilles de Soliman et de son épouse Roxelane : la dinde, nouvellement arrivée des Amériques et inconnue du Grand Turc. Mais pour sauver Pierre du courroux ottoman, Quentin va devoir affronter un maître queux irascible et prêt à tout pour voir disparaître ce « rival » venu de France.     
    
  
  
  
  
  
  
  

  
  ","Policier"
"10","
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           La nuit où la journaliste Farah Hafez a vu le petit garçon arriver aux urgences sur un brancard, aussitôt elle l’a su : il était bacha bazi, un « garçon-jouet », livré à de riches Afghans selon une coutume de son pays natal. En menant l’enquête sur les responsables de ce crime atroce, Farah découvre l’existence d’un lien obscur entre le ministre des Affaires économiques néerlandais et le puissant fondateur de l’entreprise énergétique russe, AtlasNet.Avec le soutien de son patron, Farah lance alors une opération clandestine et part sur les traces de ce dernier en Russie. Mais l’oligarque est dangereux et bien informé, et Farah est obligée de s’enfuir en Indonésie pour tenter de mettre ses pratiques criminelles en lumière.Dans ce deuxième volet de La Trilogie Hartland, le combat contre le terrorisme et la corruption ne fait que commencer.    Traduit du néerlandais par Yvonne Pétrequin et Brigitte Zwerver-Berret.     
    
  
  
  
  
  
  
  

  
  ","Policier"
